bug_name,key,total # of functions,# of functions with same highest Binary score,Binary score of highest rank,rank of buggy function (Binary),Binary score of buggy function,# of functions with same highest GP13 score,GP13 score of highest rank,rank of buggy function (GP13),GP13 score of buggy function,# of functions with same highest Jaccard score,Jaccard score of highest rank,rank of buggy function (Jaccard),Jaccard score of buggy function,# of functions with same highest Naish1 score,Naish1 score of highest rank,rank of buggy function (Naish1),Naish1 score of buggy function,# of functions with same highest Naish2 score,Naish2 score of highest rank,rank of buggy function (Naish2),Naish2 score of buggy function,# of functions with same highest Ochiai score,Ochiai score of highest rank,rank of buggy function (Ochiai),Ochiai score of buggy function,# of functions with same highest Russel+Rao score,Russel+Rao score of highest rank,rank of buggy function (Russel+Rao),Russel+Rao score of buggy function,# of functions with same highest Wong1 score,Wong1 score of highest rank,rank of buggy function (Wong1),Wong1 score of buggy function
ptsetreg.MUT273.cpp,"opencv_calib3d/modules/calib3d/src/ptsetreg.cpp#Affine2DEstimatorCallback::runKernel(cv::InputArray _m1, cv::InputArray _m2, cv::OutputArray _model)#660",595,4,1,4,1,3,7.0,3,7.0,3,1.0,3,1.0,3,151,3,151,3,6.0,3,6.0,3,1.0,3,1.0,4,0.0382165605095541,4,0.0382165605095541,4,6,4,6
fisheye.MUT678.cpp,"opencv_calib3d/modules/calib3d/src/fisheye.cpp#ComputeHomography(class cv::Mat m, class cv::Mat M)#1399",595,5,1,5,1,4,2.0,4,2.0,4,1.0,4,1.0,4,150,4,150,4,1.0,4,1.0,4,1.0,4,1.0,5,0.0066225165562913,5,0.0066225165562913,5,1,5,1
solvepnp.MUT346.cpp,"opencv_calib3d/modules/calib3d/src/solvepnp.cpp#solvePnPGeneric(cv::InputArray _opoints, cv::InputArray _ipoints, cv::InputArray _cameraMatrix, cv::InputArray _distCoeffs, cv::OutputArrayOfArrays _rvecs, cv::OutputArrayOfArrays _tvecs, _Bool useExtrinsicGuess, enum cv::SolvePnPMethod flags, cv::InputArray _rvec, cv::InputArray _tvec, cv::OutputArray reprojectionError)#891",595,3,1,3,1,2,9.0,2,9.0,2,1.0,2,1.0,2,150,2,150,2,8.0,2,8.0,2,1.0,2,1.0,3,0.050632911392405,3,0.050632911392405,3,8,3,8
calibration.MUT195.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#cvRodrigues2(const CvMat * src, CvMat * dst, CvMat * jacobian)#514",595,1,1,1,1,1,7.0,1,7.0,1,1.0,1,1.0,1,152,1,152,1,6.0,1,6.0,1,1.0,1,1.0,1,0.0379746835443038,1,0.0379746835443038,1,6,1,6
ptsetreg.MUT183.cpp,"opencv_calib3d/modules/calib3d/src/ptsetreg.cpp#Affine3DEstimatorCallback::runKernel(cv::InputArray _m1, cv::InputArray _m2, cv::OutputArray _model)#445",595,11,1,11,1,5,2.0,5,2.0,5,1.0,5,1.0,5,156,5,156,5,1.0,5,1.0,5,1.0,5,1.0,11,0.0063694267515923,11,0.0063694267515923,11,1,11,1
circlesgrid.MUT524.cpp,"opencv_calib3d/modules/calib3d/src/circlesgrid.cpp#CirclesGridFinder::computeRNG(class Graph & rng, int & vectors, class cv::Mat * drawImage)#1236",595,11,1,11,1,9,3.0,9,3.0,9,1.0,9,1.0,9,153,9,153,9,2.0,9,2.0,9,1.0,9,1.0,11,0.0129032258064516,11,0.0129032258064516,11,2,11,2
rho.MUT15.cpp,opencv_calib3d/modules/calib3d/src/rho.cpp#RHO_HEST::fastRandom()#150,595,65,1,65,1,46,2.0,46,2.0,46,1.0,46,1.0,46,156,46,156,46,1.0,46,1.0,46,1.0,46,1.0,65,0.0063694267515923,65,0.0063694267515923,65,1,65,1
calibration.MUT1347.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#cvStereoCalibrateImpl(const CvMat * _objectPoints, const CvMat * _imagePoints1, const CvMat * _imagePoints2, const CvMat * _npoints, CvMat * _cameraMatrix1, CvMat * _distCoeffs1, CvMat * _cameraMatrix2, CvMat * _distCoeffs2, CvSize imageSize, CvMat * matR, CvMat * matT, CvMat * matE, CvMat * matF, CvMat * rvecs, CvMat * tvecs, CvMat * perViewErr, int flags, CvTermCriteria termCrit)#2608",595,50,1,50,1,8,2.0,8,2.0,8,1.0,8,1.0,8,156,8,156,8,1.0,8,1.0,8,1.0,8,1.0,50,0.0063694267515923,50,0.0063694267515923,50,1,50,1
calibration.MUT1495.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#cvStereoRectify(const CvMat * _cameraMatrix1, const CvMat * _cameraMatrix2, const CvMat * _distCoeffs1, const CvMat * _distCoeffs2, CvSize imageSize, const CvMat * matR, const CvMat * matT, CvMat * _R1, CvMat * _R2, CvMat * _P1, CvMat * _P2, CvMat * matQ, int flags, double alpha, CvSize newImgSize, CvRect * roi1, CvRect * roi2)#2867",595,77,1,77,1,13,2.0,13,2.0,13,1.0,13,1.0,13,154,13,154,13,1.0,13,1.0,13,1.0,13,1.0,77,0.0064516129032258,77,0.0064516129032258,77,1,77,1
calibration.MUT194.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#cvRodrigues2(const CvMat * src, CvMat * dst, CvMat * jacobian)#512",595,1,1,1,1,1,53.0,1,53.0,1,1.0,1,1.0,1,105,1,105,1,52.0,1,52.0,1,1.0,1,1.0,1,0.3312101910828025,1,0.3312101910828025,1,52,1,52
ippe.MUT225.cpp,"opencv_calib3d/modules/calib3d/src/ippe.cpp#PoseSolver::computeRotations(double j00, double j01, double j10, double j11, double p, double q, cv::OutputArray _R1, cv::OutputArray _R2)#501",595,72,1,72,1,15,4.0,15,4.0,15,1.0,15,1.0,15,153,15,153,15,3.0,15,3.0,15,1.0,15,1.0,72,0.0192307692307692,72,0.0192307692307692,72,3,72,3
calibration.MUT1597.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#cvStereoRectifyUncalibrated(const CvMat * _points1, const CvMat * _points2, const CvMat * F0, CvSize imgSize, CvMat * _H1, CvMat * _H2, double threshold)#3062",595,77,1,77,1,11,2.0,11,2.0,11,1.0,11,1.0,11,157,11,157,11,1.0,11,1.0,11,1.0,11,1.0,77,0.0063291139240506,77,0.0063291139240506,77,1,77,1
circlesgrid.MUT193.cpp,"opencv_calib3d/modules/calib3d/src/circlesgrid.cpp#Graph::areVerticesAdjacent(size_t id1, size_t id2)#506",595,37,1,37,1,30,4.0,30,4.0,30,1.0,30,1.0,30,153,30,153,30,3.0,30,3.0,30,1.0,30,1.0,37,0.0192307692307692,37,0.0192307692307692,37,3,37,3
calibinit.MUT545.cpp,"opencv_calib3d/modules/calib3d/src/calibinit.cpp#ChessBoardDetector::checkQuadGroup(const int & quad_group, int & out_corners)#1471",595,22,1,22,1,22,4.0,22,4.0,22,1.0,22,1.0,22,152,22,152,22,3.0,22,3.0,22,1.0,22,1.0,22,0.0193548387096774,22,0.0193548387096774,22,3,22,3
circlesgrid.MUT185.cpp,opencv_calib3d/modules/calib3d/src/circlesgrid.cpp#Graph::Graph(size_t n)#467,595,10,1,10,1,8,4.0,8,4.0,8,1.0,8,1.0,8,153,8,153,8,3.0,8,3.0,8,1.0,8,1.0,10,0.0192307692307692,10,0.0192307692307692,10,3,10,3
rho.MUT721.cpp,"opencv_calib3d/modules/calib3d/src/rho.cpp#sacTRISolve8x8(const float (*)[8] L, const float * Jte, float * dH)#2616",595,72,1,72,1,53,2.0,53,2.0,53,1.0,53,1.0,53,156,53,156,53,1.0,53,1.0,53,1.0,53,1.0,72,0.0063694267515923,72,0.0063694267515923,72,1,72,1
homography_solver.MUT271.cpp,"opencv_calib3d/modules/calib3d/src/usac/homography_solver.cpp#AffineNonMinimalSolverImpl::estimate(const int & sample, int sample_size, int & models, const int & weights)#506",595,43,1,43,1,3,2.0,3,2.0,3,1.0,3,1.0,3,157,3,157,3,1.0,3,1.0,3,1.0,3,1.0,43,0.0063291139240506,43,0.0063291139240506,43,1,43,1
circlesgrid.MUT222.cpp,opencv_calib3d/modules/calib3d/src/circlesgrid.cpp#CirclesGridFinderParameters::CirclesGridFinderParameters()#580,595,11,1,11,1,11,3.0,11,3.0,11,1.0,11,1.0,11,151,11,151,11,2.0,11,2.0,11,1.0,11,1.0,11,0.0130718954248366,11,0.0130718954248366,11,2,11,2
fundam.MUT431.cpp,"opencv_calib3d/modules/calib3d/src/fundam.cpp#computeCorrespondEpilines(cv::InputArray _points, int whichImage, cv::InputArray _Fmat, cv::OutputArray _lines)#988",595,3,1,3,1,1,2.0,1,2.0,1,1.0,1,1.0,1,157,1,157,1,1.0,1,1.0,1,1.0,1,1.0,3,0.0063291139240506,3,0.0063291139240506,3,1,3,1
ippe.MUT121.cpp,"opencv_calib3d/modules/calib3d/src/ippe.cpp#PoseSolver::computeTranslation(cv::InputArray _objectPoints, cv::InputArray _normalizedImgPoints, cv::InputArray _R, cv::OutputArray _t)#346",595,63,1,63,1,14,6.0,14,6.0,14,1.0,14,1.0,14,153,14,153,14,5.0,14,5.0,14,1.0,14,1.0,63,0.0316455696202531,63,0.0316455696202531,63,5,63,5
solvepnp.MUT81.cpp,"opencv_calib3d/modules/calib3d/src/solvepnp.cpp#solvePnPRansac(cv::InputArray _opoints, cv::InputArray _ipoints, cv::InputArray _cameraMatrix, cv::InputArray _distCoeffs, cv::OutputArray _rvec, cv::OutputArray _tvec, _Bool useExtrinsicGuess, int iterationsCount, float reprojectionError, double confidence, cv::OutputArray _inliers, int flags)#296",595,6,1,6,1,2,7.0,2,7.0,2,1.0,2,1.0,2,152,2,152,2,6.0,2,6.0,2,1.0,2,1.0,6,0.0379746835443038,6,0.0379746835443038,6,6,6,6
fisheye.MUT174.cpp,"opencv_calib3d/modules/calib3d/src/fisheye.cpp#undistortPoints(cv::InputArray distorted, cv::OutputArray undistorted, cv::InputArray K, cv::InputArray D, cv::InputArray R, cv::InputArray P, class cv::TermCriteria criteria)#424",595,1,1,1,1,1,10.0,1,10.0,1,1.0,1,1.0,1,143,1,143,1,9.0,1,9.0,1,1.0,1,1.0,1,0.0592105263157894,1,0.0592105263157894,1,9,1,9
circlesgrid.MUT336.cpp,"opencv_calib3d/modules/calib3d/src/circlesgrid.cpp#CirclesGridFinder::findMCS(const int & basis, int & basisGraphs)#813",595,37,1,37,1,8,4.0,8,4.0,8,1.0,8,1.0,8,154,8,154,8,3.0,8,3.0,8,1.0,8,1.0,37,0.019108280254777,37,0.019108280254777,37,3,37,3
triangulate.MUT134.cpp,"opencv_calib3d/modules/calib3d/src/triangulate.cpp#icvCorrectMatches(CvMat * F_, CvMat * points1_, CvMat * points2_, CvMat * new_points1, CvMat * new_points2)#296",595,2,1,2,1,2,3.0,2,3.0,2,1.0,2,1.0,2,156,2,156,2,2.0,2,2.0,2,1.0,2,1.0,2,0.0126582278481012,2,0.0126582278481012,2,2,2,2
rho.MUT492.cpp,"opencv_calib3d/modules/calib3d/src/rho.cpp#hFuncRefC(float * packedPoints, float * H)#2004",595,62,1,62,1,46,3.0,46,3.0,46,1.0,46,1.0,46,156,46,156,46,2.0,46,2.0,46,1.0,46,1.0,62,0.0126582278481012,62,0.0126582278481012,62,2,62,2
circlesgrid.MUT434.cpp,"opencv_calib3d/modules/calib3d/src/circlesgrid.cpp#CirclesGridFinder::computeGraphConfidence(const int & basisGraphs, _Bool addRow, const int & points, const int & seeds)#1057",595,50,1,50,1,8,2.0,8,2.0,8,1.0,8,1.0,8,154,8,154,8,1.0,8,1.0,8,1.0,8,1.0,50,0.0064516129032258,50,0.0064516129032258,50,1,50,1
calibration_handeye.MUT99.cpp,"opencv_calib3d/modules/calib3d/src/calibration_handeye.cpp#qmult(const class cv::Mat & s, const class cv::Mat & t)#210",595,19,1,19,1,15,4.0,15,4.0,15,1.0,15,1.0,15,154,15,154,15,3.0,15,3.0,15,1.0,15,1.0,19,0.019108280254777,19,0.019108280254777,19,3,19,3
calibration.MUT936.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#cvCalibrateCamera2Internal(const CvMat * objectPoints, const CvMat * imagePoints, const CvMat * npoints, CvSize imageSize, int iFixedPoint, CvMat * cameraMatrix, CvMat * distCoeffs, CvMat * rvecs, CvMat * tvecs, CvMat * newObjPoints, CvMat * stdDevs, CvMat * perViewErrors, int flags, CvTermCriteria termCrit)#1853",595,19,1,19,1,3,5.0,3,5.0,3,1.0,3,1.0,3,154,3,154,3,4.0,3,4.0,3,1.0,3,1.0,19,0.0253164556962025,19,0.0253164556962025,19,4,19,4
fundam.MUT31.cpp,"opencv_calib3d/modules/calib3d/src/fundam.cpp#HomographyEstimatorCallback::runKernel(cv::InputArray _m1, cv::InputArray _m2, cv::OutputArray _model)#146",595,8,1,8,1,5,3.0,5,3.0,5,1.0,5,1.0,5,143,5,143,5,2.0,5,2.0,5,1.0,5,1.0,8,0.0137931034482758,8,0.0137931034482758,8,2,8,2
calibration.MUT2108.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#stereoRectify(cv::InputArray _cameraMatrix1, cv::InputArray _distCoeffs1, cv::InputArray _cameraMatrix2, cv::InputArray _distCoeffs2, cv::Size imageSize, cv::InputArray _Rmat, cv::InputArray _Tmat, cv::OutputArray _Rmat1, cv::OutputArray _Rmat2, cv::OutputArray _Pmat1, cv::OutputArray _Pmat2, cv::OutputArray _Qmat, int flags, double alpha, cv::Size newImageSize, cv::Rect * validPixROI1, cv::Rect * validPixROI2)#4216",595,6,1,6,1,3,5.0,3,5.0,3,1.0,3,1.0,3,154,3,154,3,4.0,3,4.0,3,1.0,3,1.0,6,0.0253164556962025,6,0.0253164556962025,6,4,6,4
pnp_solver.MUT47.cpp,"opencv_calib3d/modules/calib3d/src/usac/pnp_solver.cpp#PnPMinimalSolver6PtsImpl::estimate(const int & sample, int & models)#145",595,75,1,75,1,17,2.0,17,2.0,17,1.0,17,1.0,17,157,17,157,17,1.0,17,1.0,17,1.0,17,1.0,75,0.0063291139240506,75,0.0063291139240506,75,1,75,1
ippe.MUT346.cpp,"opencv_calib3d/modules/calib3d/src/ippe.cpp#PoseSolver::sortPosesByReprojError(cv::InputArray _objectPoints, cv::InputArray _imagePoints, cv::InputArray _Ma, cv::InputArray _Mb, cv::OutputArray _M1, cv::OutputArray _M2, float & err1, float & err2)#733",595,74,1,74,1,2,3.0,2,3.0,2,1.0,2,1.0,2,155,2,155,2,2.0,2,2.0,2,1.0,2,1.0,74,0.0127388535031847,74,0.0127388535031847,74,2,74,2
fundam.MUT438.cpp,"opencv_calib3d/modules/calib3d/src/fundam.cpp#computeCorrespondEpilines(cv::InputArray _points, int whichImage, cv::InputArray _Fmat, cv::OutputArray _lines)#999",595,3,1,3,1,1,2.0,1,2.0,1,1.0,1,1.0,1,156,1,156,1,1.0,1,1.0,1,1.0,1,1.0,3,0.0063694267515923,3,0.0063694267515923,3,1,3,1
calibration_handeye.MUT332.cpp,"opencv_calib3d/modules/calib3d/src/calibration_handeye.cpp#calibrateHandEyeDaniilidis(const int & Hg, const int & Hc, class cv::Mat & R_cam2gripper, class cv::Mat & t_cam2gripper)#673",595,19,1,19,1,15,4.0,15,4.0,15,1.0,15,1.0,15,154,15,154,15,3.0,15,3.0,15,1.0,15,1.0,19,0.019108280254777,19,0.019108280254777,19,3,19,3
rho.MUT38.cpp,"opencv_calib3d/modules/calib3d/src/rho.cpp#rhoHest(Ptr<cv::RHO_HEST> p, const float * src, const float * dst, char * inl, unsigned int N, float maxD, unsigned int maxI, unsigned int rConvg, double cfd, unsigned int minInl, double beta, unsigned int flags, const float * guessH, float * finalH)#533",595,63,1,63,1,44,2.0,44,2.0,44,1.0,44,1.0,44,156,44,156,44,1.0,44,1.0,44,1.0,44,1.0,63,0.0063694267515923,63,0.0063694267515923,63,1,63,1
fisheye.MUT377.cpp,"opencv_calib3d/modules/calib3d/src/fisheye.cpp#calibrate(cv::InputArrayOfArrays objectPoints, cv::InputArrayOfArrays imagePoints, const cv::Size & image_size, cv::InputOutputArray K, cv::InputOutputArray D, cv::OutputArrayOfArrays rvecs, cv::OutputArrayOfArrays tvecs, int flags, cv::TermCriteria criteria)#855",595,18,1,18,1,5,4.0,5,4.0,5,1.0,5,1.0,5,152,5,152,5,3.0,5,3.0,5,1.0,5,1.0,18,0.0193548387096774,18,0.0193548387096774,18,3,18,3
fundam.MUT267.cpp,"opencv_calib3d/modules/calib3d/src/fundam.cpp#run7Point(const class cv::Mat & _m1, const class cv::Mat & _m2, class cv::Mat & _fmatrix)#628",595,7,1,7,1,4,2.0,4,2.0,4,1.0,4,1.0,4,156,4,156,4,1.0,4,1.0,4,1.0,4,1.0,7,0.0063694267515923,7,0.0063694267515923,7,1,7,1
ippe.MUT258.cpp,"opencv_calib3d/modules/calib3d/src/ippe.cpp#PoseSolver::homographyFromSquarePoints(cv::InputArray _targetPoints, double halfLength, cv::OutputArray H_)#563",595,65,1,65,1,3,5.0,3,5.0,3,1.0,3,1.0,3,154,3,154,3,4.0,3,4.0,3,1.0,3,1.0,65,0.0253164556962025,65,0.0253164556962025,65,4,65,4
calibration.MUT1371.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#icvGetRectangles(const CvMat * cameraMatrix, const CvMat * distCoeffs, const CvMat * R, const CvMat * newCameraMatrix, CvSize imgSize, cv::Rect_<double> & inner, cv::Rect_<double> & outer)#2659",595,1,1,1,1,1,4.0,1,4.0,1,1.0,1,1.0,1,153,1,153,1,3.0,1,3.0,1,1.0,1,1.0,1,0.0192307692307692,1,0.0192307692307692,1,3,1,3
ptsetreg.MUT508.cpp,"opencv_calib3d/modules/calib3d/src/ptsetreg.cpp#estimateAffinePartial2D(cv::InputArray _from, cv::InputArray _to, cv::OutputArray _inliers, const int method, const double ransacReprojThreshold, const size_t maxIters, const double confidence, const size_t refineIters)#1168",595,14,1,14,1,3,5.0,3,5.0,3,1.0,3,1.0,3,153,3,153,3,4.0,3,4.0,3,1.0,3,1.0,14,0.0254777070063694,14,0.0254777070063694,14,4,14,4
local_optimization.MUT134.cpp,"opencv_calib3d/modules/calib3d/src/usac/local_optimization.cpp#InnerIterativeLocalOptimizationImpl::refineModel(const class cv::Mat & so_far_the_best_model, const class cv::usac::Score & best_model_score, class cv::Mat & new_model, class cv::usac::Score & new_model_score)#300",595,8,1,8,1,1,2.0,1,2.0,1,1.0,1,1.0,1,155,1,155,1,1.0,1,1.0,1,1.0,1,1.0,8,0.0064102564102564,8,0.0064102564102564,8,1,8,1
calibration.MUT1699.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#cvRQDecomp3x3(const CvMat * matrixM, CvMat * matrixR, CvMat * matrixQ, CvMat * matrixQx, CvMat * matrixQy, CvMat * matrixQz, CvPoint3D64f * eulerAngles)#3300",595,3,1,3,1,3,3.0,3,3.0,3,1.0,3,1.0,3,155,3,155,3,2.0,3,2.0,3,1.0,3,1.0,3,0.0127388535031847,3,0.0127388535031847,3,2,3,2
solvepnp.MUT259.cpp,"opencv_calib3d/modules/calib3d/src/solvepnp.cpp#exponentialMapToSE3Inv(const class cv::Mat & twist, class cv::Mat & R1, class cv::Mat & t1)#685",595,15,1,15,1,8,3.0,8,3.0,8,1.0,8,1.0,8,156,8,156,8,2.0,8,2.0,8,1.0,8,1.0,15,0.0126582278481012,15,0.0126582278481012,15,2,15,2
ptsetreg.MUT445.cpp,"opencv_calib3d/modules/calib3d/src/ptsetreg.cpp#estimateAffine2D(cv::InputArray _from, cv::InputArray _to, cv::OutputArray _inliers, const int method, const double ransacReprojThreshold, const size_t maxIters, const double confidence, const size_t refineIters)#1030",595,4,1,4,1,1,3.0,1,3.0,1,1.0,1,1.0,1,156,1,156,1,2.0,1,2.0,1,1.0,1,1.0,4,0.0126582278481012,4,0.0126582278481012,4,2,4,2
ippe.MUT454.cpp,"opencv_calib3d/modules/calib3d/src/ippe.cpp#normalizeDataIsotropic(cv::InputArray _Data, cv::OutputArray _DataN, cv::OutputArray _T, cv::OutputArray _Ti)#941",595,60,1,60,1,10,5.0,10,5.0,10,1.0,10,1.0,10,153,10,153,10,4.0,10,4.0,10,1.0,10,1.0,60,0.0254777070063694,60,0.0254777070063694,60,4,60,4
fundam.MUT444.cpp,"opencv_calib3d/modules/calib3d/src/fundam.cpp#computeCorrespondEpilines(cv::InputArray _points, int whichImage, cv::InputArray _Fmat, cv::OutputArray _lines)#1005",595,3,1,3,1,1,2.0,1,2.0,1,1.0,1,1.0,1,156,1,156,1,1.0,1,1.0,1,1.0,1,1.0,3,0.0063694267515923,3,0.0063694267515923,3,1,3,1
