bug_name,buggy_line_key,# of failing Tcs,# of lines executed by failing TCs,# of mutants,# of uncompilable mutants,# of mutans on buggy line,# of uncompilable mutants on buggy line,# of compilable mutants on buggy line,total p2f (all mutants),total f2p (all mutants),# of functions,# of function with same highest met score,met score of highest rank,rank of buggy function (function level) (met),met score of buggy function,# of function with same highest muse score,muse score of highest rank,rank of buggy function (function level) (muse),muse score of buggy function
sqpnp.MUT127.cpp,opencv_calib3d/modules/calib3d/src/sqpnp.cpp#PoseSolver::solveInternal(cv::InputArray objectPoints)#292,1,2091,1580,155,16,7,9,10176,1,595,1,1.0,1,1.0,1,0.0499308676114759,1,0.0499308676114759
rho.MUT461.cpp,"opencv_calib3d/modules/calib3d/src/rho.cpp#hFuncRefC(float * packedPoints, float * H)#1962",2,1042,1623,73,20,0,20,3241,27,595,1,1.0,1,1.0,1,0.0255102040816326,2,0.010204081632653
fundam.MUT455.cpp,"opencv_calib3d/modules/calib3d/src/fundam.cpp#convertPointsFromHomogeneous(cv::InputArray _src, cv::OutputArray _dst)#1030",1,46,490,40,11,0,11,1574,16,595,1,1.0,1,1.0,1,0.037695929435604,1,0.037695929435604
ippe.MUT73.cpp,"opencv_calib3d/modules/calib3d/src/ippe.cpp#PoseSolver::solveSquare(cv::InputArray _objectPoints, cv::InputArray _imagePoints, cv::OutputArray _rvec1, cv::OutputArray _tvec1, float & err1, cv::OutputArray _rvec2, cv::OutputArray _tvec2, float & err2)#226",3,2200,1628,184,20,8,12,6504,14,595,1,1.0,1,1.0,1,0.0461538461538461,1,0.0461538461538461
ippe.MUT189.cpp,"opencv_calib3d/modules/calib3d/src/ippe.cpp#PoseSolver::computeRotations(double j00, double j01, double j10, double j11, double p, double q, cv::OutputArray _R1, cv::OutputArray _R2)#447",5,2338,1535,123,20,0,20,6145,18,595,1,0.6324555320336759,1,0.6324555320336759,1,0.0300751879699248,1,0.0300751879699248
ptsetreg.MUT273.cpp,"opencv_calib3d/modules/calib3d/src/ptsetreg.cpp#Affine2DEstimatorCallback::runKernel(cv::InputArray _m1, cv::InputArray _m2, cv::OutputArray _model)#660",6,311,1297,144,20,0,20,8454,10,595,2,0.5773502691896258,2,0.5773502691896258,1,0.0300512325844347,2,0.0086580086580086
fisheye.MUT678.cpp,"opencv_calib3d/modules/calib3d/src/fisheye.cpp#ComputeHomography(class cv::Mat m, class cv::Mat M)#1399",1,132,1389,214,17,2,15,6542,170,595,3,1.0,3,1.0,1,0.003023751882069,1,0.003023751882069
solvepnp.MUT346.cpp,"opencv_calib3d/modules/calib3d/src/solvepnp.cpp#solvePnPGeneric(cv::InputArray _opoints, cv::InputArray _ipoints, cv::InputArray _cameraMatrix, cv::InputArray _distCoeffs, cv::OutputArrayOfArrays _rvecs, cv::OutputArrayOfArrays _tvecs, _Bool useExtrinsicGuess, enum cv::SolvePnPMethod flags, cv::InputArray _rvec, cv::InputArray _tvec, cv::OutputArray reprojectionError)#891",8,480,1292,115,20,0,20,13622,9,595,1,1.0,1,1.0,1,0.0428536473680715,1,0.0428536473680715
calibration.MUT195.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#cvRodrigues2(const CvMat * src, CvMat * dst, CvMat * jacobian)#514",6,2369,1488,142,20,6,14,7411,120,595,1,1.0,1,1.0,1,0.0059031877213695,6,0.0038477548878373
ptsetreg.MUT183.cpp,"opencv_calib3d/modules/calib3d/src/ptsetreg.cpp#Affine3DEstimatorCallback::runKernel(cv::InputArray _m1, cv::InputArray _m2, cv::OutputArray _model)#445",1,158,1402,123,9,0,9,11475,1,595,1,0.7071067811865475,1,0.7071067811865475,1,0.0499817568183891,1,0.0499817568183891
circlesgrid.MUT524.cpp,"opencv_calib3d/modules/calib3d/src/circlesgrid.cpp#CirclesGridFinder::computeRNG(class Graph & rng, int & vectors, class cv::Mat * drawImage)#1236",2,101,1082,101,20,4,16,1369,0,595,595,0.0,595,0.0,595,0.0,595,0.0
rho.MUT15.cpp,opencv_calib3d/modules/calib3d/src/rho.cpp#RHO_HEST::fastRandom()#150,1,780,1596,95,20,0,20,3208,2,595,1,1.0,1,1.0,1,0.0317460317460317,1,0.0317460317460317
calibration.MUT1347.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#cvStereoCalibrateImpl(const CvMat * _objectPoints, const CvMat * _imagePoints1, const CvMat * _imagePoints2, const CvMat * _npoints, CvMat * _cameraMatrix1, CvMat * _distCoeffs1, CvMat * _cameraMatrix2, CvMat * _distCoeffs2, CvSize imageSize, CvMat * matR, CvMat * matT, CvMat * matE, CvMat * matF, CvMat * rvecs, CvMat * tvecs, CvMat * perViewErr, int flags, CvTermCriteria termCrit)#2608",1,1901,1520,136,20,1,19,3897,3,595,1,1.0,1,1.0,1,0.025,1,0.025
calibration.MUT1495.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#cvStereoRectify(const CvMat * _cameraMatrix1, const CvMat * _cameraMatrix2, const CvMat * _distCoeffs1, const CvMat * _distCoeffs2, CvSize imageSize, const CvMat * matR, const CvMat * matT, CvMat * _R1, CvMat * _R2, CvMat * _P1, CvMat * _P2, CvMat * matQ, int flags, double alpha, CvSize newImgSize, CvRect * roi1, CvRect * roi2)#2867",1,2692,1489,152,2,0,2,4746,1,595,1,1.0,1,1.0,1,0.1666666666666666,1,0.1666666666666666
calibration.MUT194.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#cvRodrigues2(const CvMat * src, CvMat * dst, CvMat * jacobian)#512",52,2755,1530,164,20,17,3,940,143,595,1,0.7721099961494127,1,0.7721099961494127,1,0.0538194444444444,1,0.0538194444444444
ippe.MUT225.cpp,"opencv_calib3d/modules/calib3d/src/ippe.cpp#PoseSolver::computeRotations(double j00, double j01, double j10, double j11, double p, double q, cv::OutputArray _R1, cv::OutputArray _R2)#501",3,2306,1467,182,20,1,19,5768,5,595,1,1.0,1,1.0,1,0.025,1,0.025
calibration.MUT1597.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#cvStereoRectifyUncalibrated(const CvMat * _points1, const CvMat * _points2, const CvMat * F0, CvSize imgSize, CvMat * _H1, CvMat * _H2, double threshold)#3062",1,2692,1525,145,20,0,20,6269,20,595,1,1.0,1,1.0,1,0.0249433106575963,1,0.0249433106575963
circlesgrid.MUT193.cpp,"opencv_calib3d/modules/calib3d/src/circlesgrid.cpp#Graph::areVerticesAdjacent(size_t id1, size_t id2)#506",3,434,1184,157,20,3,17,2991,4,595,1,1.0,1,1.0,1,0.0444444444444444,1,0.0444444444444444
calibinit.MUT545.cpp,"opencv_calib3d/modules/calib3d/src/calibinit.cpp#ChessBoardDetector::checkQuadGroup(const int & quad_group, int & out_corners)#1471",3,799,1449,114,20,0,20,4891,12,595,1,1.0,1,1.0,1,0.0292913545508701,1,0.0292913545508701
circlesgrid.MUT185.cpp,opencv_calib3d/modules/calib3d/src/circlesgrid.cpp#Graph::Graph(size_t n)#467,3,94,1029,105,20,0,20,705,22,595,1,1.0,1,1.0,1,0.0331262939958592,1,0.0331262939958592
rho.MUT721.cpp,"opencv_calib3d/modules/calib3d/src/rho.cpp#sacTRISolve8x8(const float (*)[8] L, const float * Jte, float * dH)#2616",1,1000,1516,113,20,0,20,4673,0,595,595,0.0,595,0.0,594,0.0,594,0.0
homography_solver.MUT271.cpp,"opencv_calib3d/modules/calib3d/src/usac/homography_solver.cpp#AffineNonMinimalSolverImpl::estimate(const int & sample, int sample_size, int & models, const int & weights)#506",1,423,1446,183,20,2,18,2049,0,595,595,0.0,595,0.0,592,0.0,592,0.0
circlesgrid.MUT222.cpp,opencv_calib3d/modules/calib3d/src/circlesgrid.cpp#CirclesGridFinderParameters::CirclesGridFinderParameters()#580,2,100,1079,101,17,0,17,739,30,595,1,1.0,1,1.0,1,0.0232974910394265,1,0.0232974910394265
fundam.MUT431.cpp,"opencv_calib3d/modules/calib3d/src/fundam.cpp#computeCorrespondEpilines(cv::InputArray _points, int whichImage, cv::InputArray _Fmat, cv::OutputArray _lines)#988",1,54,623,56,20,0,20,1133,0,595,595,0.0,595,0.0,594,0.0,594,0.0
ippe.MUT121.cpp,"opencv_calib3d/modules/calib3d/src/ippe.cpp#PoseSolver::computeTranslation(cv::InputArray _objectPoints, cv::InputArray _normalizedImgPoints, cv::InputArray _R, cv::OutputArray _t)#346",5,2338,1407,155,20,0,20,5050,5,595,1,1.0,1,1.0,1,0.0396825396825396,1,0.0396825396825396
solvepnp.MUT81.cpp,"opencv_calib3d/modules/calib3d/src/solvepnp.cpp#solvePnPRansac(cv::InputArray _opoints, cv::InputArray _ipoints, cv::InputArray _cameraMatrix, cv::InputArray _distCoeffs, cv::OutputArray _rvec, cv::OutputArray _tvec, _Bool useExtrinsicGuess, int iterationsCount, float reprojectionError, double confidence, cv::OutputArray _inliers, int flags)#296",6,238,1280,92,20,5,15,18954,39,595,1,0.7071067811865476,1,0.7071067811865476,1,0.0202029242190149,1,0.0202029242190149
fisheye.MUT174.cpp,"opencv_calib3d/modules/calib3d/src/fisheye.cpp#undistortPoints(cv::InputArray distorted, cv::OutputArray undistorted, cv::InputArray K, cv::InputArray D, cv::InputArray R, cv::InputArray P, class cv::TermCriteria criteria)#424",9,541,1259,174,20,0,20,6837,8,595,1,0.3333333333333333,1,0.3333333333333333,1,0.0184101104209799,2,0.0105820105820105
circlesgrid.MUT336.cpp,"opencv_calib3d/modules/calib3d/src/circlesgrid.cpp#CirclesGridFinder::findMCS(const int & basis, int & basisGraphs)#813",3,466,1347,194,20,2,18,2207,36,595,2,1.0,2,1.0,1,0.0327169274537695,1,0.0327169274537695
triangulate.MUT134.cpp,"opencv_calib3d/modules/calib3d/src/triangulate.cpp#icvCorrectMatches(CvMat * F_, CvMat * points1_, CvMat * points2_, CvMat * new_points1, CvMat * new_points2)#296",2,2224,1544,189,20,6,14,5869,0,595,595,0.0,595,0.0,595,0.0,595,0.0
rho.MUT492.cpp,"opencv_calib3d/modules/calib3d/src/rho.cpp#hFuncRefC(float * packedPoints, float * H)#2004",2,1017,1644,63,20,0,20,3884,28,595,3,0.7071067811865475,3,0.7071067811865475,1,0.020010017054352,4,0.0016420361247947
circlesgrid.MUT434.cpp,"opencv_calib3d/modules/calib3d/src/circlesgrid.cpp#CirclesGridFinder::computeGraphConfidence(const int & basisGraphs, _Bool addRow, const int & points, const int & seeds)#1057",1,637,1412,118,12,0,12,6578,4,595,1,1.0,1,1.0,1,0.0615384615384615,1,0.0615384615384615
calibration_handeye.MUT99.cpp,"opencv_calib3d/modules/calib3d/src/calibration_handeye.cpp#qmult(const class cv::Mat & s, const class cv::Mat & t)#210",3,493,1321,224,20,1,19,4215,9,595,1,1.0,1,1.0,1,0.045,1,0.045
calibration.MUT936.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#cvCalibrateCamera2Internal(const CvMat * objectPoints, const CvMat * imagePoints, const CvMat * npoints, CvSize imageSize, int iFixedPoint, CvMat * cameraMatrix, CvMat * distCoeffs, CvMat * rvecs, CvMat * tvecs, CvMat * newObjPoints, CvMat * stdDevs, CvMat * perViewErrors, int flags, CvTermCriteria termCrit)#1853",4,1539,1509,148,20,6,14,8284,168,595,1,0.7071067811865475,1,0.7071067811865475,1,0.0048189558611544,8,0.0005635390250774
fundam.MUT31.cpp,"opencv_calib3d/modules/calib3d/src/fundam.cpp#HomographyEstimatorCallback::runKernel(cv::InputArray _m1, cv::InputArray _m2, cv::OutputArray _model)#146",2,349,1216,96,20,0,20,17358,34,595,1,1.0,1,1.0,1,0.0135443921158206,1,0.0135443921158206
calibration.MUT2108.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#stereoRectify(cv::InputArray _cameraMatrix1, cv::InputArray _distCoeffs1, cv::InputArray _cameraMatrix2, cv::InputArray _distCoeffs2, cv::Size imageSize, cv::InputArray _Rmat, cv::InputArray _Tmat, cv::OutputArray _Rmat1, cv::OutputArray _Rmat2, cv::OutputArray _Pmat1, cv::OutputArray _Pmat2, cv::OutputArray _Qmat, int flags, double alpha, cv::Size newImageSize, cv::Rect * validPixROI1, cv::Rect * validPixROI2)#4216",4,2004,1539,134,18,8,10,7993,15,595,1,0.8660254037844387,1,0.8660254037844387,1,0.0625,1,0.0625
pnp_solver.MUT47.cpp,"opencv_calib3d/modules/calib3d/src/usac/pnp_solver.cpp#PnPMinimalSolver6PtsImpl::estimate(const int & sample, int & models)#145",1,1200,1459,112,20,0,20,2838,7,595,1,1.0,1,1.0,1,0.0416666666666666,1,0.0416666666666666
ippe.MUT346.cpp,"opencv_calib3d/modules/calib3d/src/ippe.cpp#PoseSolver::sortPosesByReprojError(cv::InputArray _objectPoints, cv::InputArray _imagePoints, cv::InputArray _Ma, cv::InputArray _Mb, cv::OutputArray _M1, cv::OutputArray _M2, float & err1, float & err2)#733",2,2170,1530,182,9,0,9,8292,5,595,1,0.7071067811865475,1,0.7071067811865475,1,0.0833333333333333,1,0.0833333333333333
fundam.MUT438.cpp,"opencv_calib3d/modules/calib3d/src/fundam.cpp#computeCorrespondEpilines(cv::InputArray _points, int whichImage, cv::InputArray _Fmat, cv::OutputArray _lines)#999",1,66,821,81,5,0,5,1169,0,595,595,0.0,595,0.0,594,0.0,594,0.0
calibration_handeye.MUT332.cpp,"opencv_calib3d/modules/calib3d/src/calibration_handeye.cpp#calibrateHandEyeDaniilidis(const int & Hg, const int & Hc, class cv::Mat & R_cam2gripper, class cv::Mat & t_cam2gripper)#673",3,493,1380,233,20,1,19,6231,0,595,595,0.0,595,0.0,595,0.0,595,0.0
rho.MUT38.cpp,"opencv_calib3d/modules/calib3d/src/rho.cpp#rhoHest(Ptr<cv::RHO_HEST> p, const float * src, const float * dst, char * inl, unsigned int N, float maxD, unsigned int maxI, unsigned int rConvg, double cfd, unsigned int minInl, double beta, unsigned int flags, const float * guessH, float * finalH)#533",1,766,1387,101,20,2,18,4196,7,595,1,1.0,1,1.0,1,0.0460526315789473,1,0.0460526315789473
fisheye.MUT377.cpp,"opencv_calib3d/modules/calib3d/src/fisheye.cpp#calibrate(cv::InputArrayOfArrays objectPoints, cv::InputArrayOfArrays imagePoints, const cv::Size & image_size, cv::InputOutputArray K, cv::InputOutputArray D, cv::OutputArrayOfArrays rvecs, cv::OutputArrayOfArrays tvecs, int flags, cv::TermCriteria criteria)#855",3,770,1388,194,20,0,20,5674,0,595,595,0.0,595,0.0,595,0.0,595,0.0
fundam.MUT267.cpp,"opencv_calib3d/modules/calib3d/src/fundam.cpp#run7Point(const class cv::Mat & _m1, const class cv::Mat & _m2, class cv::Mat & _fmatrix)#628",1,125,1483,51,20,1,19,763,0,595,595,0.0,595,0.0,594,0.0,594,0.0
ippe.MUT258.cpp,"opencv_calib3d/modules/calib3d/src/ippe.cpp#PoseSolver::homographyFromSquarePoints(cv::InputArray _targetPoints, double halfLength, cv::OutputArray H_)#563",4,2234,1463,175,20,2,18,5883,2,595,1,0.7071067811865475,1,0.7071067811865475,1,0.0350787744343864,1,0.0350787744343864
calibration.MUT1371.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#icvGetRectangles(const CvMat * cameraMatrix, const CvMat * distCoeffs, const CvMat * R, const CvMat * newCameraMatrix, CvSize imgSize, cv::Rect_<double> & inner, cv::Rect_<double> & outer)#2659",3,366,1471,150,9,0,9,13757,10,595,1,0.5773502691896258,595,0.0,1,0.0432900432900432,595,0.0
ptsetreg.MUT508.cpp,"opencv_calib3d/modules/calib3d/src/ptsetreg.cpp#estimateAffinePartial2D(cv::InputArray _from, cv::InputArray _to, cv::OutputArray _inliers, const int method, const double ransacReprojThreshold, const size_t maxIters, const double confidence, const size_t refineIters)#1168",4,305,1450,169,20,0,20,8224,18,595,1,0.8660254037844387,1,0.8660254037844387,1,0.0300691921190536,1,0.0300691921190536
local_optimization.MUT134.cpp,"opencv_calib3d/modules/calib3d/src/usac/local_optimization.cpp#InnerIterativeLocalOptimizationImpl::refineModel(const class cv::Mat & so_far_the_best_model, const class cv::usac::Score & best_model_score, class cv::Mat & new_model, class cv::usac::Score & new_model_score)#300",1,72,1015,169,20,0,20,1595,125,595,3,1.0,3,1.0,1,0.0049329673389823,2,0.0026455026455026
calibration.MUT1699.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#cvRQDecomp3x3(const CvMat * matrixM, CvMat * matrixR, CvMat * matrixQ, CvMat * matrixQx, CvMat * matrixQy, CvMat * matrixQz, CvPoint3D64f * eulerAngles)#3300",2,117,1251,102,20,0,20,13454,34,595,1,1.0,1,1.0,1,0.0108843537414965,1,0.0108843537414965
solvepnp.MUT259.cpp,"opencv_calib3d/modules/calib3d/src/solvepnp.cpp#exponentialMapToSE3Inv(const class cv::Mat & twist, class cv::Mat & R1, class cv::Mat & t1)#685",2,958,1425,142,20,0,20,11240,8,595,1,1.0,1,1.0,1,0.0423280423280423,1,0.0423280423280423
ptsetreg.MUT445.cpp,"opencv_calib3d/modules/calib3d/src/ptsetreg.cpp#estimateAffine2D(cv::InputArray _from, cv::InputArray _to, cv::OutputArray _inliers, const int method, const double ransacReprojThreshold, const size_t maxIters, const double confidence, const size_t refineIters)#1030",2,101,1221,121,16,6,10,6021,28,595,1,1.0,1,1.0,1,0.0125669480105513,2,0.006269592476489
ippe.MUT454.cpp,"opencv_calib3d/modules/calib3d/src/ippe.cpp#normalizeDataIsotropic(cv::InputArray _Data, cv::OutputArray _DataN, cv::OutputArray _T, cv::OutputArray _Ti)#941",4,2291,1552,200,20,1,19,4009,42,595,1,0.7071067811865475,1,0.7071067811865475,1,0.020671834625323,1,0.020671834625323
fundam.MUT444.cpp,"opencv_calib3d/modules/calib3d/src/fundam.cpp#computeCorrespondEpilines(cv::InputArray _points, int whichImage, cv::InputArray _Fmat, cv::OutputArray _lines)#1005",1,66,835,70,20,0,20,1242,0,595,595,0.0,595,0.0,594,0.0,594,0.0
stereobm.MUT217.cpp,"opencv_calib3d/modules/calib3d/src/stereobm.cpp#findStereoCorrespondenceBM_SIMD(const class cv::Mat & left, const class cv::Mat & right, class cv::Mat & disp, class cv::Mat & cost, const struct cv::StereoBMParams & state, int _dy0, int _dy1, const class cv::BufferBM & bufX, size_t bufNum)#502",1,423,1824,193,20,6,14,931,0,595,595,0.0,595,0.0,595,0.0,595,0.0
local_optimization.MUT114.cpp,"opencv_calib3d/modules/calib3d/src/usac/local_optimization.cpp#InnerIterativeLocalOptimizationImpl::refineModel(const class cv::Mat & so_far_the_best_model, const class cv::usac::Score & best_model_score, class cv::Mat & new_model, class cv::usac::Score & new_model_score)#262",4,53,730,119,20,0,20,1545,212,595,3,1.0,3,1.0,1,0.0115855740503627,1,0.0115855740503627
stereobm.MUT407.cpp,"opencv_calib3d/modules/calib3d/src/stereobm.cpp#findStereoCorrespondenceBM(const class cv::Mat & left, const class cv::Mat & right, class cv::Mat & disp, class cv::Mat & cost, const struct cv::StereoBMParams & state, int _dy0, int _dy1, const class cv::BufferBM & bufX, size_t bufNum)#789",1,423,1644,149,20,5,15,814,0,595,595,0.0,595,0.0,593,0.0,593,0.0
circlesgrid.MUT181.cpp,"opencv_calib3d/modules/calib3d/src/circlesgrid.cpp#CirclesGridClusterFinder::parsePatternPoints(const int & patternPoints, const int & rectifiedPatternPoints, int & centers)#450",1,222,1430,213,20,1,19,5127,17,595,1,1.0,1,1.0,1,0.0308641975308641,1,0.0308641975308641
fisheye.MUT259.cpp,"opencv_calib3d/modules/calib3d/src/fisheye.cpp#estimateNewCameraMatrixForUndistortRectify(cv::InputArray K, cv::InputArray D, const cv::Size & image_size, cv::InputArray R, cv::OutputArray P, double balance, const cv::Size & new_size, double fov_scale)#616",3,217,1494,271,20,7,13,6759,24,595,1,0.8164965809277261,1,0.8164965809277261,1,0.0262148668639053,2,0.0057142857142857
triangulate.MUT27.cpp,"opencv_calib3d/modules/calib3d/src/triangulate.cpp#icvTriangulatePoints(CvMat * projMatr1, CvMat * projMatr2, CvMat * projPoints1, CvMat * projPoints2, CvMat * points4D)#105",2,2692,1515,133,20,4,16,8062,5,595,1,1.0,1,1.0,1,0.0391276929620015,1,0.0391276929620015
ptsetreg.MUT292.cpp,"opencv_calib3d/modules/calib3d/src/ptsetreg.cpp#Affine2DEstimatorCallback::computeError(cv::InputArray _m1, cv::InputArray _m2, cv::InputArray _model, cv::OutputArray _err)#690",6,382,1389,144,20,0,20,6168,92,595,1,1.0,1,1.0,1,0.0081984280253359,4,0.0046082949308755
fisheye.MUT41.cpp,"opencv_calib3d/modules/calib3d/src/fisheye.cpp#projectPoints(cv::InputArray objectPoints, cv::OutputArray imagePoints, cv::InputArray _rvec, cv::InputArray _tvec, cv::InputArray _K, cv::InputArray _D, double alpha, cv::OutputArray jacobian)#149",9,796,1296,200,20,6,14,9371,13,595,1,0.3333333333333333,1,0.3333333333333333,1,0.0095238095238095,1,0.0095238095238095
rho.MUT573.cpp,"opencv_calib3d/modules/calib3d/src/rho.cpp#sacCalcJacobianErrors(const float * H, const float * src, const float * dst, const char * inl, unsigned int N, float (*)[8] JtJ, float * Jte, float * Sp)#2244",1,1000,1538,67,20,0,20,3721,0,595,595,0.0,595,0.0,595,0.0,595,0.0
calibration_handeye.MUT341.cpp,"opencv_calib3d/modules/calib3d/src/calibration_handeye.cpp#calibrateHandEyeDaniilidis(const int & Hg, const int & Hc, class cv::Mat & R_cam2gripper, class cv::Mat & t_cam2gripper)#691",3,495,1413,206,20,1,19,5702,18,595,1,1.0,1,1.0,1,0.031578947368421,1,0.031578947368421
calibration.MUT227.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#cvProjectPoints2Internal(const CvMat * objectPoints, const CvMat * r_vec, const CvMat * t_vec, const CvMat * A, const CvMat * distCoeffs, CvMat * imagePoints, CvMat * dpdr, CvMat * dpdt, CvMat * dpdf, CvMat * dpdc, CvMat * dpdk, CvMat * dpdo, double aspectRatio)#609",42,2492,1574,149,20,0,20,1587,192,595,1,1.0,1,1.0,1,0.0335553910683444,1,0.0335553910683444
stereobm.MUT551.cpp,opencv_calib3d/modules/calib3d/src/stereobm.cpp#FindStereoCorrespInvoker::operator()(const class cv::Range & range)#1100,5,210,1563,111,20,0,20,3,210,595,2,0.8944271909999159,2,0.8944271909999159,1,0.0085308056872037,2,0.0079820404090795
calibration.MUT1990.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#calibrateCameraRO(cv::InputArrayOfArrays _objectPoints, cv::InputArrayOfArrays _imagePoints, cv::Size imageSize, int iFixedPoint, cv::InputOutputArray _cameraMatrix, cv::InputOutputArray _distCoeffs, cv::OutputArrayOfArrays _rvecs, cv::OutputArrayOfArrays _tvecs, cv::OutputArray newObjPoints, cv::OutputArray stdDeviationsIntrinsics, cv::OutputArray stdDeviationsExtrinsics, cv::OutputArray stdDeviationsObjPoints, cv::OutputArray _perViewErrors, int flags, class cv::TermCriteria criteria)#3967",2,2418,1358,165,20,4,16,2133,0,595,595,0.0,595,0.0,594,0.0,594,0.0
triangulate.MUT91.cpp,"opencv_calib3d/modules/calib3d/src/triangulate.cpp#icvCorrectMatches(CvMat * F_, CvMat * points1_, CvMat * points2_, CvMat * new_points1, CvMat * new_points2)#243",1,2692,1303,149,20,9,11,5149,7,595,1,1.0,1,1.0,1,0.0625,1,0.0625
stereobm.MUT545.cpp,opencv_calib3d/modules/calib3d/src/stereobm.cpp#FindStereoCorrespInvoker::operator()(const class cv::Range & range)#1089,1,421,1667,173,20,1,19,759,7,595,1,1.0,1,1.0,1,0.0346590909090909,1,0.0346590909090909
