bug_name,key,total # of functions,# of functions with same highest Binary score,Binary score of highest rank,rank of buggy function (Binary),Binary score of buggy function,rank of buggy function among functions executed by failing tcs (Binary),# of functions with same highest GP13 score,GP13 score of highest rank,rank of buggy function (GP13),GP13 score of buggy function,rank of buggy function among functions executed by failing tcs (GP13),# of functions with same highest Jaccard score,Jaccard score of highest rank,rank of buggy function (Jaccard),Jaccard score of buggy function,rank of buggy function among functions executed by failing tcs (Jaccard),# of functions with same highest Naish1 score,Naish1 score of highest rank,rank of buggy function (Naish1),Naish1 score of buggy function,rank of buggy function among functions executed by failing tcs (Naish1),# of functions with same highest Naish2 score,Naish2 score of highest rank,rank of buggy function (Naish2),Naish2 score of buggy function,rank of buggy function among functions executed by failing tcs (Naish2),# of functions with same highest Ochiai score,Ochiai score of highest rank,rank of buggy function (Ochiai),Ochiai score of buggy function,rank of buggy function among functions executed by failing tcs (Ochiai),# of functions with same highest Russel+Rao score,Russel+Rao score of highest rank,rank of buggy function (Russel+Rao),Russel+Rao score of buggy function,rank of buggy function among functions executed by failing tcs (Russel+Rao),# of functions with same highest Wong1 score,Wong1 score of highest rank,rank of buggy function (Wong1),Wong1 score of buggy function,rank of buggy function among functions executed by failing tcs (Wong1)
agast.MUT2464.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#3778",297,4,1,4,1,4,4,2.0,4,2.0,4,4,1.0,4,1.0,4,4,88,4,88,4,4,1.0,4,1.0,4,4,1.0,4,1.0,4,4,0.0112359550561797,4,0.0112359550561797,4,4,1,4,1,4
affine_feature.MUT91.cpp,"opencv_features2d/modules/features2d/src/affine_feature.cpp#skewedDetectAndCompute::affineSkew(float tilt, float phi, class cv::Mat & warpedImage, class cv::Mat & warpedMask, cv::Matx23f & pose)#278",297,23,1,23,1,23,6,2.0,6,2.0,6,6,1.0,6,1.0,6,6,87,6,87,6,6,1.0,6,1.0,6,6,1.0,6,1.0,6,23,0.0113636363636363,23,0.0113636363636363,23,23,1,23,1,23
agast.MUT4842.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST(cv::InputArray _img, int & keypoints, int threshold, _Bool nonmax_suppression, class AgastFeatureDetector::DetectorType type)#8143",297,1,1,1,1,1,1,3.0,1,3.0,1,1,1.0,1,1.0,1,1,86,1,86,1,1,2.0,1,2.0,1,1,1.0,1,1.0,1,1,0.0227272727272727,1,0.0227272727272727,1,1,2,1,2,1
mser.MUT145.cpp,"opencv_features2d/modules/features2d/src/mser.cpp#ConnectedComp::growHistory(struct cv::MSER_Impl::CompHistory *& hptr, struct cv::MSER_Impl::WParams & wp, int new_gray_level, _Bool final)#353",297,23,1,23,1,23,19,2.0,19,2.0,19,19,1.0,19,1.0,19,19,87,19,87,19,19,1.0,19,1.0,19,19,1.0,19,1.0,19,23,0.0113636363636363,23,0.0113636363636363,23,23,1,23,1,23
agast.MUT4355.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#OAST_9_16(cv::InputArray _img, int & keypoints, int threshold)#6763",297,6,1,6,1,6,6,2.0,6,2.0,6,6,1.0,6,1.0,6,6,73,6,73,6,6,1.0,6,1.0,6,6,1.0,6,1.0,6,6,0.0135135135135135,6,0.0135135135135135,6,6,1,6,1,6
agast.MUT2793.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4275",297,4,1,4,1,4,4,2.0,4,2.0,4,4,1.0,4,1.0,4,4,88,4,88,4,4,1.0,4,1.0,4,4,1.0,4,1.0,4,4,0.0112359550561797,4,0.0112359550561797,4,4,1,4,1,4
AKAZEFeatures.MUT272.cpp,opencv_features2d/modules/features2d/src/kaze/AKAZEFeatures.cpp#AKAZEFeatures::Find_Scale_Space_Extrema(int & keypoints_by_layers)#825,297,35,1,35,1,35,6,7.0,6,7.0,6,6,1.0,6,1.0,6,6,68,6,68,6,6,6.0,6,6.0,6,6,1.0,6,1.0,6,35,0.081081081081081,35,0.081081081081081,35,35,6,35,6,35
agast.MUT2148.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#3310",297,4,1,4,1,4,4,2.0,4,2.0,4,4,1.0,4,1.0,4,4,88,4,88,4,4,1.0,4,1.0,4,4,1.0,4,1.0,4,4,0.0112359550561797,4,0.0112359550561797,4,4,1,4,1,4
agast.MUT327.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_5_8(cv::InputArray _img, int & keypoints, int threshold)#546",297,2,1,2,1,2,2,2.0,2,2.0,2,2,1.0,2,1.0,2,2,88,2,88,2,2,1.0,2,1.0,2,2,1.0,2,1.0,2,2,0.0112359550561797,2,0.0112359550561797,2,2,1,2,1,2
sift.dispatch.MUT158.cpp,"opencv_features2d/modules/features2d/src/sift.dispatch.cpp#SIFT_Impl::detectAndCompute(cv::InputArray _image, cv::InputArray _mask, int & keypoints, cv::OutputArray _descriptors, _Bool useProvidedKeypoints)#579",297,4,1,4,1,4,4,11.0,4,11.0,4,4,1.0,4,1.0,4,4,78,4,78,4,4,10.0,4,10.0,4,4,1.0,4,1.0,4,4,0.1136363636363636,4,0.1136363636363636,4,4,10,4,10,4
agast.MUT2010.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#3087",297,3,1,3,1,3,3,2.0,3,2.0,3,3,1.0,3,1.0,3,3,88,3,88,3,3,1.0,3,1.0,3,3,1.0,3,1.0,3,3,0.0112359550561797,3,0.0112359550561797,3,3,1,3,1,3
agast.MUT765.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#1216",297,3,1,3,1,3,3,2.0,3,2.0,3,3,1.0,3,1.0,3,3,88,3,88,3,3,1.0,3,1.0,3,3,1.0,3,1.0,3,3,0.0112359550561797,3,0.0112359550561797,3,3,1,3,1,3
agast.MUT811.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#1285",297,3,1,3,1,3,3,2.0,3,2.0,3,3,1.0,3,1.0,3,3,88,3,88,3,3,1.0,3,1.0,3,3,1.0,3,1.0,3,3,0.0112359550561797,3,0.0112359550561797,3,3,1,3,1,3
agast.MUT307.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_5_8(cv::InputArray _img, int & keypoints, int threshold)#518",297,2,1,2,1,2,2,2.0,2,2.0,2,2,1.0,2,1.0,2,2,88,2,88,2,2,1.0,2,1.0,2,2,1.0,2,1.0,2,2,0.0112359550561797,2,0.0112359550561797,2,2,1,2,1,2
agast.MUT1046.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#1636",297,3,1,3,1,3,3,2.0,3,2.0,3,3,1.0,3,1.0,3,3,88,3,88,3,3,1.0,3,1.0,3,3,1.0,3,1.0,3,3,0.0112359550561797,3,0.0112359550561797,3,3,1,3,1,3
agast.MUT2848.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4357",297,4,1,4,1,4,4,2.0,4,2.0,4,4,1.0,4,1.0,4,4,88,4,88,4,4,1.0,4,1.0,4,4,1.0,4,1.0,4,4,0.0112359550561797,4,0.0112359550561797,4,4,1,4,1,4
agast.MUT834.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#1321",297,3,1,3,1,3,3,2.0,3,2.0,3,3,1.0,3,1.0,3,3,88,3,88,3,3,1.0,3,1.0,3,3,1.0,3,1.0,3,3,0.0112359550561797,3,0.0112359550561797,3,3,1,3,1,3
agast.MUT1928.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#2961",297,3,1,3,1,3,3,2.0,3,2.0,3,3,1.0,3,1.0,3,3,88,3,88,3,3,1.0,3,1.0,3,3,1.0,3,1.0,3,3,0.0112359550561797,3,0.0112359550561797,3,3,1,3,1,3
agast.MUT4792.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AgastFeatureDetector::create(int threshold, _Bool nonmaxSuppression, class AgastFeatureDetector::DetectorType type)#8032",297,6,1,6,1,6,6,2.0,6,2.0,6,6,1.0,6,1.0,6,6,73,6,73,6,6,1.0,6,1.0,6,6,1.0,6,1.0,6,6,0.0135135135135135,6,0.0135135135135135,6,6,1,6,1,6
affine_feature.MUT99.cpp,"opencv_features2d/modules/features2d/src/affine_feature.cpp#AffineFeature_Impl::detectAndCompute(cv::InputArray _image, cv::InputArray _mask, int & keypoints, cv::OutputArray _descriptors, _Bool useProvidedKeypoints)#319",297,25,1,25,1,25,7,2.0,7,2.0,7,7,1.0,7,1.0,7,7,87,7,87,7,7,1.0,7,1.0,7,7,1.0,7,1.0,7,25,0.0113636363636363,25,0.0113636363636363,25,25,1,25,1,25
agast.MUT2223.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#3419",297,4,1,4,1,4,4,2.0,4,2.0,4,4,1.0,4,1.0,4,4,88,4,88,4,4,1.0,4,1.0,4,4,1.0,4,1.0,4,4,0.0112359550561797,4,0.0112359550561797,4,4,1,4,1,4
agast.MUT2396.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#3679",297,4,1,4,1,4,4,2.0,4,2.0,4,4,1.0,4,1.0,4,4,88,4,88,4,4,1.0,4,1.0,4,4,1.0,4,1.0,4,4,0.0112359550561797,4,0.0112359550561797,4,4,1,4,1,4
agast.MUT2344.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#3599",297,4,1,4,1,4,4,2.0,4,2.0,4,4,1.0,4,1.0,4,4,88,4,88,4,4,1.0,4,1.0,4,4,1.0,4,1.0,4,4,0.0112359550561797,4,0.0112359550561797,4,4,1,4,1,4
agast.MUT2660.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4075",297,4,1,4,1,4,4,2.0,4,2.0,4,4,1.0,4,1.0,4,4,88,4,88,4,4,1.0,4,1.0,4,4,1.0,4,1.0,4,4,0.0112359550561797,4,0.0112359550561797,4,4,1,4,1,4
agast.MUT677.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#1083",297,3,1,3,1,3,3,2.0,3,2.0,3,3,1.0,3,1.0,3,3,88,3,88,3,3,1.0,3,1.0,3,3,1.0,3,1.0,3,3,0.0112359550561797,3,0.0112359550561797,3,3,1,3,1,3
mser.MUT135.cpp,"opencv_features2d/modules/features2d/src/mser.cpp#ConnectedComp::growHistory(struct cv::MSER_Impl::CompHistory *& hptr, struct cv::MSER_Impl::WParams & wp, int new_gray_level, _Bool final)#332",297,22,1,22,1,22,18,2.0,18,2.0,18,18,1.0,18,1.0,18,18,87,18,87,18,18,1.0,18,1.0,18,18,1.0,18,1.0,18,22,0.0113636363636363,22,0.0113636363636363,22,22,1,22,1,22
orb.MUT323.cpp,"opencv_features2d/modules/features2d/src/orb.cpp#ORB_Impl::detectAndCompute(cv::InputArray _image, cv::InputArray _mask, int & keypoints, cv::OutputArray _descriptors, _Bool useProvidedKeypoints)#1112",297,5,1,5,1,5,5,19.0,5,19.0,5,5,1.0,5,1.0,5,5,71,5,71,5,5,18.0,5,18.0,5,5,1.0,5,1.0,5,5,0.2022471910112359,5,0.2022471910112359,5,5,18,5,18,5
agast.MUT1125.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#1755",297,3,1,3,1,3,3,2.0,3,2.0,3,3,1.0,3,1.0,3,3,88,3,88,3,3,1.0,3,1.0,3,3,1.0,3,1.0,3,3,0.0112359550561797,3,0.0112359550561797,3,3,1,3,1,3
agast.MUT1205.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#1876",297,3,1,3,1,3,3,2.0,3,2.0,3,3,1.0,3,1.0,3,3,88,3,88,3,3,1.0,3,1.0,3,3,1.0,3,1.0,3,3,0.0112359550561797,3,0.0112359550561797,3,3,1,3,1,3
affine_feature.MUT46.cpp,opencv_features2d/modules/features2d/src/affine_feature.cpp#skewedDetectAndCompute::operator()(const cv::Range & range)#207,297,23,1,23,1,23,6,2.0,6,2.0,6,6,1.0,6,1.0,6,6,87,6,87,6,6,1.0,6,1.0,6,6,1.0,6,1.0,6,23,0.0113636363636363,23,0.0113636363636363,23,23,1,23,1,23
orb.MUT265.cpp,"opencv_features2d/modules/features2d/src/orb.cpp#computeKeyPoints(const class cv::Mat & imagePyramid, const class cv::UMat & uimagePyramid, const class cv::Mat & maskPyramid, const int & layerInfo, const class cv::UMat & ulayerInfo, const int & layerScale, int & allKeypoints, int nfeatures, double scaleFactor, int edgeThreshold, int patchSize, class ORB::ScoreType scoreType, _Bool useOCL, int fastThreshold)#961",297,21,1,21,1,21,3,2.0,3,2.0,3,3,1.0,3,1.0,3,3,75,3,75,3,3,1.0,3,1.0,3,3,1.0,3,1.0,3,21,0.0131578947368421,21,0.0131578947368421,21,21,1,21,1,21
agast.MUT2758.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4219",297,4,1,4,1,4,4,2.0,4,2.0,4,4,1.0,4,1.0,4,4,88,4,88,4,4,1.0,4,1.0,4,4,1.0,4,1.0,4,4,0.0112359550561797,4,0.0112359550561797,4,4,1,4,1,4
agast.MUT4775.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AgastFeatureDetector_Impl::detect(cv::InputArray _image, int & keypoints, cv::InputArray _mask)#7992",297,6,1,6,1,6,6,3.0,6,3.0,6,6,1.0,6,1.0,6,6,74,6,74,6,6,2.0,6,2.0,6,6,1.0,6,1.0,6,6,0.0263157894736842,6,0.0263157894736842,6,6,2,6,2,6
agast.MUT2346.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#3603",297,4,1,4,1,4,4,2.0,4,2.0,4,4,1.0,4,1.0,4,4,88,4,88,4,4,1.0,4,1.0,4,4,1.0,4,1.0,4,4,0.0112359550561797,4,0.0112359550561797,4,4,1,4,1,4
agast.MUT1201.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#1871",297,3,1,3,1,3,3,2.0,3,2.0,3,3,1.0,3,1.0,3,3,88,3,88,3,3,1.0,3,1.0,3,3,1.0,3,1.0,3,3,0.0112359550561797,3,0.0112359550561797,3,3,1,3,1,3
agast.MUT3042.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4650",297,4,1,4,1,4,4,2.0,4,2.0,4,4,1.0,4,1.0,4,4,88,4,88,4,4,1.0,4,1.0,4,4,1.0,4,1.0,4,4,0.0112359550561797,4,0.0112359550561797,4,4,1,4,1,4
mser.MUT482.cpp,"opencv_features2d/modules/features2d/src/mser.cpp#extractMSER_8uC3(const class cv::Mat & src, int & msers, int & bboxvec, const class MSER_Impl::Params & params)#953",297,13,1,13,1,13,9,2.0,9,2.0,9,9,1.0,9,1.0,9,9,88,9,88,9,9,1.0,9,1.0,9,9,1.0,9,1.0,9,13,0.0112359550561797,13,0.0112359550561797,13,13,1,13,1,13
agast.MUT1585.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#2449",297,3,1,3,1,3,3,2.0,3,2.0,3,3,1.0,3,1.0,3,3,88,3,88,3,3,1.0,3,1.0,3,3,1.0,3,1.0,3,3,0.0112359550561797,3,0.0112359550561797,3,3,1,3,1,3
brisk.MUT216.cpp,"opencv_features2d/modules/features2d/src/brisk.cpp#BRISK_Impl::smoothedIntensity(const cv::Mat & image, const cv::Mat & integral, const float key_x, const float key_y, const unsigned int scale, const unsigned int rot, const unsigned int point)#655",297,40,1,40,1,40,10,4.0,10,4.0,10,10,1.0,10,1.0,10,10,75,10,75,10,10,3.0,10,3.0,10,10,1.0,10,1.0,10,40,0.0384615384615384,40,0.0384615384615384,40,40,3,40,3,40
brisk.MUT226.cpp,"opencv_features2d/modules/features2d/src/brisk.cpp#BRISK_Impl::smoothedIntensity(const cv::Mat & image, const cv::Mat & integral, const float key_x, const float key_y, const unsigned int scale, const unsigned int rot, const unsigned int point)#668",297,40,1,40,1,40,10,4.0,10,4.0,10,10,1.0,10,1.0,10,10,75,10,75,10,10,3.0,10,3.0,10,10,1.0,10,1.0,10,40,0.0384615384615384,40,0.0384615384615384,40,40,3,40,3,40
agast.MUT4844.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST(cv::InputArray _img, int & keypoints, int threshold, _Bool nonmax_suppression, class AgastFeatureDetector::DetectorType type)#8145",297,1,1,1,1,1,1,3.0,1,3.0,1,1,1.0,1,1.0,1,1,86,1,86,1,1,2.0,1,2.0,1,1,1.0,1,1.0,1,1,0.0227272727272727,1,0.0227272727272727,1,1,2,1,2,1
mser.MUT460.cpp,"opencv_features2d/modules/features2d/src/mser.cpp#extractMSER_8uC3(const class cv::Mat & src, int & msers, int & bboxvec, const class MSER_Impl::Params & params)#919",297,12,1,12,1,12,8,2.0,8,2.0,8,8,1.0,8,1.0,8,8,88,8,88,8,8,1.0,8,1.0,8,8,1.0,8,1.0,8,12,0.0112359550561797,12,0.0112359550561797,12,12,1,12,1,12
agast.MUT3209.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4899",297,4,1,4,1,4,4,2.0,4,2.0,4,4,1.0,4,1.0,4,4,88,4,88,4,4,1.0,4,1.0,4,4,1.0,4,1.0,4,4,0.0112359550561797,4,0.0112359550561797,4,4,1,4,1,4
agast.MUT2383.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#3659",297,4,1,4,1,4,4,2.0,4,2.0,4,4,1.0,4,1.0,4,4,88,4,88,4,4,1.0,4,1.0,4,4,1.0,4,1.0,4,4,0.0112359550561797,4,0.0112359550561797,4,4,1,4,1,4
fast.MUT113.cpp,"opencv_features2d/modules/features2d/src/fast.cpp#FAST_t(cv::InputArray _img, int & keypoints, int threshold, _Bool nonmax_suppression)#251",297,8,1,8,1,8,3,2.0,3,2.0,3,3,1.0,3,1.0,3,3,71,3,71,3,3,1.0,3,1.0,3,3,1.0,3,1.0,3,8,0.0138888888888888,8,0.0138888888888888,8,8,1,8,1,8
agast.MUT2645.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4050",297,4,1,4,1,4,4,2.0,4,2.0,4,4,1.0,4,1.0,4,4,88,4,88,4,4,1.0,4,1.0,4,4,1.0,4,1.0,4,4,0.0112359550561797,4,0.0112359550561797,4,4,1,4,1,4
AKAZEFeatures.MUT102.cpp,"opencv_features2d/modules/features2d/src/kaze/AKAZEFeatures.cpp#NonLinearScalarDiffusionStep::NonLinearScalarDiffusionStep(const class cv::Mat & Lt, const class cv::Mat & Lf, class cv::Mat & Lstep, float step_size)#237",297,35,1,35,1,35,14,6.0,14,6.0,14,14,1.0,14,1.0,14,14,67,14,67,14,14,5.0,14,5.0,14,14,1.0,14,1.0,14,35,0.0694444444444444,35,0.0694444444444444,35,35,5,35,5,35
agast.MUT2995.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4577",297,4,1,4,1,4,4,2.0,4,2.0,4,4,1.0,4,1.0,4,4,88,4,88,4,4,1.0,4,1.0,4,4,1.0,4,1.0,4,4,0.0112359550561797,4,0.0112359550561797,4,4,1,4,1,4
agast.MUT592.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#956",297,3,1,3,1,3,3,2.0,3,2.0,3,3,1.0,3,1.0,3,3,88,3,88,3,3,1.0,3,1.0,3,3,1.0,3,1.0,3,3,0.0112359550561797,3,0.0112359550561797,3,3,1,3,1,3
mser.MUT146.cpp,"opencv_features2d/modules/features2d/src/mser.cpp#ConnectedComp::growHistory(struct cv::MSER_Impl::CompHistory *& hptr, struct cv::MSER_Impl::WParams & wp, int new_gray_level, _Bool final)#354",297,22,1,22,1,22,18,2.0,18,2.0,18,18,1.0,18,1.0,18,18,87,18,87,18,18,1.0,18,1.0,18,18,1.0,18,1.0,18,22,0.0113636363636363,22,0.0113636363636363,22,22,1,22,1,22
sift.dispatch.MUT90.cpp,"opencv_features2d/modules/features2d/src/sift.dispatch.cpp#SIFT_Impl::findScaleSpaceExtrema(const int & gauss_pyr, const int & dog_pyr, int & keypoints)#384",297,11,1,11,1,11,8,3.0,8,3.0,8,8,1.0,8,1.0,8,8,79,8,79,8,8,2.0,8,2.0,8,8,1.0,8,1.0,8,11,0.0246913580246913,11,0.0246913580246913,11,11,2,11,2,11
affine_feature.MUT71.cpp,"opencv_features2d/modules/features2d/src/affine_feature.cpp#skewedDetectAndCompute::affineSkew(float tilt, float phi, class cv::Mat & warpedImage, class cv::Mat & warpedMask, cv::Matx23f & pose)#253",297,23,1,23,1,23,6,2.0,6,2.0,6,6,1.0,6,1.0,6,6,87,6,87,6,6,1.0,6,1.0,6,6,1.0,6,1.0,6,23,0.0113636363636363,23,0.0113636363636363,23,23,1,23,1,23
sift.dispatch.MUT40.cpp,"opencv_features2d/modules/features2d/src/sift.dispatch.cpp#SIFT_Impl::buildGaussianPyramid(const class cv::Mat & base, int & pyr, int nOctaves)#234",297,4,1,4,1,4,4,12.0,4,12.0,4,4,1.0,4,1.0,4,4,78,4,78,4,4,11.0,4,11.0,4,4,1.0,4,1.0,4,4,0.1235955056179775,4,0.1235955056179775,4,4,11,4,11,4
