bug_name,key,total # of functions,# of functions with same highest Binary score,Binary score of highest rank,rank of buggy function (Binary),Binary score of buggy function,rank of buggy function among functions executed by failing tcs (Binary),# of functions with same highest GP13 score,GP13 score of highest rank,rank of buggy function (GP13),GP13 score of buggy function,rank of buggy function among functions executed by failing tcs (GP13),# of functions with same highest Jaccard score,Jaccard score of highest rank,rank of buggy function (Jaccard),Jaccard score of buggy function,rank of buggy function among functions executed by failing tcs (Jaccard),# of functions with same highest Naish1 score,Naish1 score of highest rank,rank of buggy function (Naish1),Naish1 score of buggy function,rank of buggy function among functions executed by failing tcs (Naish1),# of functions with same highest Naish2 score,Naish2 score of highest rank,rank of buggy function (Naish2),Naish2 score of buggy function,rank of buggy function among functions executed by failing tcs (Naish2),# of functions with same highest Ochiai score,Ochiai score of highest rank,rank of buggy function (Ochiai),Ochiai score of buggy function,rank of buggy function among functions executed by failing tcs (Ochiai),# of functions with same highest Russel+Rao score,Russel+Rao score of highest rank,rank of buggy function (Russel+Rao),Russel+Rao score of buggy function,rank of buggy function among functions executed by failing tcs (Russel+Rao),# of functions with same highest Wong1 score,Wong1 score of highest rank,rank of buggy function (Wong1),Wong1 score of buggy function,rank of buggy function among functions executed by failing tcs (Wong1)
persistence_xml.MUT318.cpp,"opencv_core/modules/core/src/persistence_xml.cpp#XMLParser::parseTag(char * ptr, std::string & tag_name, std::string & type_name, int & tag_type)#689",915,49,1,49,1,49,7,21.0,7,21.0,7,7,1.0,7,1.0,7,7,5114,7,5114,7,7,20.0,7,20.0,7,7,1.0,7,1.0,7,49,0.003895597974289,49,0.003895597974289,49,49,20,49,20,49
persistence_yml.MUT322.cpp,"opencv_core/modules/core/src/persistence_yml.cpp#YAMLParser::parseValue(char * ptr, class cv::FileNode & node, int min_indent, _Bool is_parent_flow)#663",915,62,1,62,1,62,1,10.0,1,10.0,1,1,1.0,1,1.0,1,1,5122,1,5122,1,1,9.0,1,9.0,1,1,1.0,1,1.0,1,62,0.0017540440459949,62,0.0017540440459949,62,62,9,62,9,62
dxt.MUT400.cpp,"opencv_core/modules/core/src/dxt.cpp#DFT(const struct cv::OcvDftOptions & c, const Complex<T> * src, Complex<T> * dst)#998",915,67,1,67,1,67,10,4.0,10,4.0,10,10,1.0,10,1.0,10,10,5130,10,5130,10,10,3.0,10,3.0,10,10,1.0,10,1.0,10,67,0.0005844535359438,67,0.0005844535359438,67,67,3,67,3,67
persistence_xml.MUT53.cpp,"opencv_core/modules/core/src/persistence_xml.cpp#XMLEmitter::startWriteStruct(const struct cv::FStructData & parent, const char * key, int struct_flags, const char * type_name)#132",915,114,1,114,1,114,2,5.0,2,5.0,2,2,1.0,2,1.0,2,2,5118,2,5118,2,2,4.0,2,4.0,2,2,1.0,2,1.0,2,114,0.0007809449433814,114,0.0007809449433814,114,114,4,114,4,114
rand.MUT53.cpp,"opencv_core/modules/core/src/rand.cpp#randf_64f(double * arr, int len, uint64 * state, const cv::Vec2d * p, void * , _Bool )#187",915,57,1,57,1,57,2,13.0,2,13.0,2,2,1.0,2,1.0,2,2,4755,2,4755,2,2,12.0,2,12.0,2,2,1.0,2,1.0,2,57,0.0025173064820641,57,0.0025173064820641,57,57,12,57,12,57
persistence_json.MUT22.cpp,opencv_core/modules/core/src/persistence_json.cpp#JSONEmitter::endWriteStruct(const struct cv::FStructData & current_struct)#64,915,207,1,207,1,207,4,2.0,4,2.0,4,4,1.0,4,1.0,4,4,5131,4,5131,4,4,1.0,4,1.0,4,4,1.0,4,1.0,4,207,0.000194855806703,207,0.000194855806703,207,207,1,207,1,207
matrix.MUT490.cpp,"opencv_core/modules/core/src/matrix.cpp#Mat::reshape(int new_cn, int new_rows)#1179",915,33,1,33,1,33,1,245.0,1,245.0,1,1,1.0,1,1.0,1,1,4890,1,4890,1,1,244.0,1,244.0,1,1,1.0,1,1.0,1,33,0.0475262952863264,33,0.0475262952863264,33,33,244,33,244,33
dxt.MUT1312.cpp,"opencv_core/modules/core/src/dxt.cpp#DCT(const struct cv::OcvDftOptions & c, const T * src, size_t src_step, T * dft_src, T * dft_dst, T * dst, size_t dst_step, const Complex<T> * dct_wave)#3804",915,80,1,80,1,80,12,2.0,12,2.0,12,12,1.0,12,1.0,12,12,5133,12,5133,12,12,1.0,12,1.0,12,12,1.0,12,1.0,12,80,0.0001947798987144,80,0.0001947798987144,80,80,1,80,1,80
dxt.MUT569.cpp,"opencv_core/modules/core/src/dxt.cpp#RealDFT(const struct cv::OcvDftOptions & c, const T * src, T * dst)#1304",915,65,1,65,1,65,8,4.0,8,4.0,8,8,1.0,8,1.0,8,8,5130,8,5130,8,8,3.0,8,3.0,8,8,1.0,8,1.0,8,65,0.0005844535359438,65,0.0005844535359438,65,65,3,65,3,65
persistence.MUT1211.cpp,"opencv_core/modules/core/src/persistence.cpp#FileNodeIterator::readRaw(const cv::String & fmt, void * _data0, size_t maxsz)#2571",915,80,1,80,1,80,2,19.0,2,19.0,2,2,1.0,2,1.0,2,2,5113,2,5113,2,2,18.0,2,18.0,2,2,1.0,2,1.0,2,80,0.0035080880919898,80,0.0035080880919898,80,80,18,80,18,80
dxt.MUT39.cpp,"opencv_core/modules/core/src/dxt.cpp#DFTInit(int n0, int nf, const int * factors, int * itab, int elem_size, void * _wave, int inv_itab)#228",915,102,1,102,1,102,37,2.0,37,2.0,37,37,1.0,37,1.0,37,37,5131,37,5131,37,37,1.0,37,1.0,37,37,1.0,37,1.0,37,102,0.000194855806703,102,0.000194855806703,102,102,1,102,1,102
umatrix.MUT136.cpp,opencv_core/modules/core/src/umatrix.cpp#UMat::UMat(class cv::UMat && m)#422,915,102,1,102,1,102,6,2.0,6,2.0,6,6,1.0,6,1.0,6,6,4983,6,4983,6,6,1.0,6,1.0,6,6,1.0,6,1.0,6,102,0.0002006420545746,102,0.0002006420545746,102,102,1,102,1,102
dxt.MUT579.cpp,"opencv_core/modules/core/src/dxt.cpp#RealDFT(const struct cv::OcvDftOptions & c, const T * src, T * dst)#1321",915,83,1,83,1,83,24,4.0,24,4.0,24,24,1.0,24,1.0,24,24,5131,24,5131,24,24,3.0,24,3.0,24,24,1.0,24,1.0,24,83,0.0005843396961433,83,0.0005843396961433,83,83,3,83,3,83
dxt.MUT633.cpp,"opencv_core/modules/core/src/dxt.cpp#CCSIDFT(const struct cv::OcvDftOptions & c, const T * src, T * dst)#1432",915,68,1,68,1,68,2,3.0,2,3.0,2,2,1.0,2,1.0,2,2,5132,2,5132,2,2,2.0,2,2.0,2,2,1.0,2,1.0,2,68,0.0003895597974289,68,0.0003895597974289,68,68,2,68,2,68
matrix_decomp.MUT130.cpp,"opencv_core/modules/core/src/matrix_decomp.cpp#QRImpl(_Tp * A, size_t astep, int m, int n, int k, _Tp * b, size_t bstep, _Tp * hFactors, _Tp eps)#269",915,62,1,62,1,62,2,3.0,2,3.0,2,2,1.0,2,1.0,2,2,5131,2,5131,2,2,2.0,2,2.0,2,2,1.0,2,1.0,2,62,0.0003896356906292,62,0.0003896356906292,62,62,2,62,2,62
persistence.MUT485.cpp,"opencv_core/modules/core/src/persistence.cpp#Impl::startWriteStruct_helper(const char * key, int struct_flags, const char * type_name)#983",915,104,1,104,1,104,28,8.0,28,8.0,28,28,1.0,28,1.0,28,28,5108,28,5108,28,28,7.0,28,7.0,28,28,1.0,28,1.0,28,104,0.0013685239491691,104,0.0013685239491691,104,104,7,104,7,104
dxt.MUT1451.cpp,"opencv_core/modules/core/src/dxt.cpp#OcvDctImpl::apply(const uchar * src, size_t src_step, uchar * dst, size_t dst_step)#4310",915,80,1,80,1,80,12,2.0,12,2.0,12,12,1.0,12,1.0,12,12,5133,12,5133,12,12,1.0,12,1.0,12,12,1.0,12,1.0,12,80,0.0001947798987144,80,0.0001947798987144,80,80,1,80,1,80
persistence_json.MUT165.cpp,opencv_core/modules/core/src/persistence_json.cpp#JSONParser::skipSpaces(char * ptr)#359,915,59,1,59,1,59,1,2.0,1,2.0,1,1,1.0,1,1.0,1,1,5133,1,5133,1,1,1.0,1,1.0,1,1,1.0,1,1.0,1,59,0.0001947798987144,59,0.0001947798987144,59,59,1,59,1,59
persistence.MUT853.cpp,opencv_core/modules/core/src/persistence.cpp#Base64Decoder::getFloat64()#1759,915,106,1,106,1,106,2,10.0,2,10.0,2,2,1.0,2,1.0,2,2,5125,2,5125,2,2,9.0,2,9.0,2,2,1.0,2,1.0,2,106,0.00175301908843,106,0.00175301908843,106,106,9,106,9,106
matrix_expressions.MUT72.cpp,"opencv_core/modules/core/src/matrix_expressions.cpp#MatOp::subtract(const class cv::MatExpr & e1, const class cv::MatExpr & e2, class cv::MatExpr & res)#381",915,123,1,123,1,123,26,2.0,26,2.0,26,26,1.0,26,1.0,26,26,5133,26,5133,26,26,1.0,26,1.0,26,26,1.0,26,1.0,26,123,0.0001947798987144,123,0.0001947798987144,123,123,1,123,1,123
dxt.MUT85.cpp,"opencv_core/modules/core/src/dxt.cpp#DFTInit(int n0, int nf, const int * factors, int * itab, int elem_size, void * _wave, int inv_itab)#298",915,55,1,55,1,55,5,4.0,5,4.0,5,5,1.0,5,1.0,5,5,5130,5,5130,5,5,3.0,5,3.0,5,5,1.0,5,1.0,5,55,0.0005844535359438,55,0.0005844535359438,55,55,3,55,3,55
matrix_expressions.MUT270.cpp,"opencv_core/modules/core/src/matrix_expressions.cpp#operator&(const class cv::Mat & a, const class cv::Mat & b)#1153",915,117,1,117,1,117,22,2.0,22,2.0,22,22,1.0,22,1.0,22,22,5133,22,5133,22,22,1.0,22,1.0,22,22,1.0,22,1.0,22,117,0.0001947798987144,117,0.0001947798987144,117,117,1,117,1,117
dxt.MUT620.cpp,"opencv_core/modules/core/src/dxt.cpp#CCSIDFT(const struct cv::OcvDftOptions & c, const T * src, T * dst)#1413",915,68,1,68,1,68,2,3.0,2,3.0,2,2,1.0,2,1.0,2,2,5132,2,5132,2,2,2.0,2,2.0,2,2,1.0,2,1.0,2,68,0.0003895597974289,68,0.0003895597974289,68,68,2,68,2,68
dxt.MUT843.cpp,"opencv_core/modules/core/src/dxt.cpp#ippi_DFT_C_32F(const uchar * src, size_t src_step, uchar * dst, size_t dst_step, int width, int height, _Bool inv, int norm_flag)#1960",915,99,1,99,1,99,16,3.0,16,3.0,16,16,1.0,16,1.0,16,16,5132,16,5132,16,16,2.0,16,2.0,16,16,1.0,16,1.0,16,99,0.0003895597974289,99,0.0003895597974289,99,99,2,99,2,99
matrix.MUT255.cpp,opencv_core/modules/core/src/matrix.cpp#Mat::operator=(class cv::Mat && m)#647,915,59,1,59,1,59,1,3.0,1,3.0,1,1,1.0,1,1.0,1,1,5120,1,5120,1,1,2.0,1,2.0,1,1,1.0,1,1.0,1,59,0.0003904724716907,59,0.0003904724716907,59,59,2,59,2,59
persistence.MUT917.cpp,"opencv_core/modules/core/src/persistence.cpp#FileStorage::FileStorage(const cv::String & filename, int flags, const cv::String & encoding)#1876",915,36,1,36,1,36,1,49.0,1,49.0,1,1,1.0,1,1.0,1,1,5078,1,5078,1,1,48.0,1,48.0,1,1,1.0,1,1.0,1,36,0.0093640265314085,36,0.0093640265314085,36,36,48,36,48,36
matrix_decomp.MUT6.cpp,"opencv_core/modules/core/src/matrix_decomp.cpp#LUImpl(_Tp * A, size_t astep, int m, _Tp * b, size_t bstep, int n, _Tp eps)#23",915,44,1,44,1,44,2,3.0,2,3.0,2,2,1.0,2,1.0,2,2,5123,2,5123,2,2,2.0,2,2.0,2,2,1.0,2,1.0,2,44,0.000390243902439,44,0.000390243902439,44,44,2,44,2,44
downhill_simplex.MUT95.cpp,"opencv_core/modules/core/src/downhill_simplex.cpp#DownhillSolverImpl::innerDownhillSimplex(class cv::Mat & p, double MinRange, double MinError, int & fcount, int nmax)#361",915,74,1,74,1,74,13,2.0,13,2.0,13,13,1.0,13,1.0,13,13,5133,13,5133,13,13,1.0,13,1.0,13,13,1.0,13,1.0,13,74,0.0001947798987144,74,0.0001947798987144,74,74,1,74,1,74
matrix_decomp.MUT60.cpp,"opencv_core/modules/core/src/matrix_decomp.cpp#CholImpl(_Tp * A, size_t astep, int m, _Tp * b, size_t bstep, int n)#125",915,81,1,81,1,81,1,2.0,1,2.0,1,1,1.0,1,1.0,1,1,5133,1,5133,1,1,1.0,1,1.0,1,1,1.0,1,1.0,1,81,0.0001947798987144,81,0.0001947798987144,81,81,1,81,1,81
persistence_json.MUT357.cpp,"opencv_core/modules/core/src/persistence_json.cpp#JSONParser::parseMap(char * ptr, class cv::FileNode & node)#742",915,59,1,59,1,59,7,14.0,7,14.0,7,7,1.0,7,1.0,7,7,5121,7,5121,7,7,13.0,7,13.0,7,7,1.0,7,1.0,7,59,0.0025321386832878,59,0.0025321386832878,59,59,13,59,13,59
persistence_yml.MUT3.cpp,"opencv_core/modules/core/src/persistence_yml.cpp#YAMLEmitter::startWriteStruct(const struct cv::FStructData & parent, const char * key, int struct_flags, const char * type_name)#31",915,84,1,84,1,84,1,3.0,1,3.0,1,1,1.0,1,1.0,1,1,5121,1,5121,1,1,2.0,1,2.0,1,1,1.0,1,1.0,1,84,0.0003903962521959,84,0.0003903962521959,84,84,2,84,2,84
lpsolver.MUT41.cpp,"opencv_core/modules/core/src/lpsolver.cpp#initialize_simplex(Mat_<double> & c, Mat_<double> & b, double & v, int & N, int & B, int & indexToRow)#176",915,67,1,67,1,67,7,2.0,7,2.0,7,7,1.0,7,1.0,7,7,5128,7,5128,7,7,1.0,7,1.0,7,7,1.0,7,1.0,7,67,0.0001949697796841,67,0.0001949697796841,67,67,1,67,1,67
dxt.MUT555.cpp,"opencv_core/modules/core/src/dxt.cpp#RealDFT(const struct cv::OcvDftOptions & c, const T * src, T * dst)#1281",915,61,1,61,1,61,5,5.0,5,5.0,5,5,1.0,5,1.0,5,5,5130,5,5130,5,5,4.0,5,4.0,5,5,1.0,5,1.0,5,61,0.0007791195948578,61,0.0007791195948578,61,61,4,61,4,61
matrix_iterator.MUT33.cpp,"opencv_core/modules/core/src/matrix_iterator.cpp#NAryMatIterator::init(const class cv::Mat ** _arrays, class cv::Mat * _planes, uchar ** _ptrs, int _narrays)#83",915,34,1,34,1,34,2,592.0,2,592.0,2,2,1.0,2,1.0,2,2,1124,2,1124,2,2,591.0,2,591.0,2,2,1.0,2,1.0,2,34,0.3446064139941691,34,0.3446064139941691,34,34,591,34,591,34
persistence.MUT235.cpp,"opencv_core/modules/core/src/persistence.cpp#Impl::open(const char * filename_or_buf, int _flags, const char * encoding)#556",915,35,1,35,1,35,2,50.0,2,50.0,2,2,1.0,2,1.0,2,2,5071,2,5071,2,2,49.0,2,49.0,2,2,1.0,2,1.0,2,35,0.0095703125,35,0.0095703125,35,35,49,35,49,35
umatrix.MUT208.cpp,"opencv_core/modules/core/src/umatrix.cpp#Mat::getUMat(enum cv::AccessFlag accessFlags, enum cv::UMatUsageFlags usageFlags)#574",915,49,1,49,1,49,1,145.0,1,145.0,1,1,1.0,1,1.0,1,1,4985,1,4985,1,1,144.0,1,144.0,1,1,1.0,1,1.0,1,49,0.0280756482745174,49,0.0280756482745174,49,49,144,49,144,49
