bug_name,buggy_line_key,# of failing Tcs,# of lines executed by failing TCs,# of mutants,# of uncompilable mutants,# of mutans on buggy line,# of uncompilable mutants on buggy line,# of compilable mutants on buggy line,total p2f (all mutants),total f2p (all mutants),# of functions,# of function with same highest met score,met score of highest rank,rank of buggy function (function level) (met),met score of buggy function,# of function with same highest muse score,muse score of highest rank,rank of buggy function (function level) (muse),muse score of buggy function
agast.MUT2464.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#3778",1,2285,1514,7,6,0,6,2326,3,297,1,0.5,1,0.5,1,0.1058536435631407,1,0.1058536435631407
affine_feature.MUT91.cpp,"opencv_features2d/modules/features2d/src/affine_feature.cpp#skewedDetectAndCompute::affineSkew(float tilt, float phi, class cv::Mat & warpedImage, class cv::Mat & warpedMask, cv::Matx23f & pose)#278",1,271,1174,138,20,7,13,5222,225,297,3,1.0,3,1.0,1,0.0031972304347913,1,0.0031972304347913
agast.MUT4842.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST(cv::InputArray _img, int & keypoints, int threshold, _Bool nonmax_suppression, class AgastFeatureDetector::DetectorType type)#8143",2,1505,1462,24,20,1,19,4483,0,297,297,0.0,297,0.0,297,0.0,297,0.0
mser.MUT145.cpp,"opencv_features2d/modules/features2d/src/mser.cpp#ConnectedComp::growHistory(struct cv::MSER_Impl::CompHistory *& hptr, struct cv::MSER_Impl::WParams & wp, int new_gray_level, _Bool final)#353",1,196,1567,129,20,0,20,1743,0,297,297,0.0,297,0.0,292,0.0,292,0.0
agast.MUT4355.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#OAST_9_16(cv::InputArray _img, int & keypoints, int threshold)#6763",1,1147,1335,14,20,0,20,4720,8,297,1,1.0,1,1.0,1,0.0219594101328661,1,0.0219594101328661
agast.MUT2793.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4275",1,2245,1491,44,20,0,20,2200,0,297,297,0.0,297,0.0,297,0.0,297,0.0
AKAZEFeatures.MUT272.cpp,opencv_features2d/modules/features2d/src/kaze/AKAZEFeatures.cpp#AKAZEFeatures::Find_Scale_Space_Extrema(int & keypoints_by_layers)#825,6,632,1501,55,20,0,20,10586,93,297,1,1.0,1,1.0,1,0.0130191693721411,2,0.0116765422552792
agast.MUT2148.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#3310",1,1903,1526,10,20,6,14,2452,0,297,297,0.0,297,0.0,297,0.0,297,0.0
agast.MUT327.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_5_8(cv::InputArray _img, int & keypoints, int threshold)#546",1,384,1441,33,6,0,6,2508,2,297,1,0.5,1,0.5,1,0.0940993376226536,1,0.0940993376226536
sift.dispatch.MUT158.cpp,"opencv_features2d/modules/features2d/src/sift.dispatch.cpp#SIFT_Impl::detectAndCompute(cv::InputArray _image, cv::InputArray _mask, int & keypoints, cv::OutputArray _descriptors, _Bool useProvidedKeypoints)#579",10,283,1336,115,11,0,11,2427,30,297,1,0.9,1,0.9,1,0.0796234186060002,1,0.0796234186060002
agast.MUT2010.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#3087",1,1338,1452,37,20,0,20,2604,1,297,1,0.7071067811865475,1,0.7071067811865475,1,0.0707156567041403,1,0.0707156567041403
agast.MUT765.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#1216",1,1363,1348,8,20,0,20,2491,7,297,1,0.5773502691896258,1,0.5773502691896258,1,0.0405965757089352,1,0.0405965757089352
agast.MUT811.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#1285",1,1377,1491,27,6,0,6,2683,3,297,1,0.7071067811865475,1,0.7071067811865475,1,0.1063444751969342,1,0.1063444751969342
agast.MUT307.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_5_8(cv::InputArray _img, int & keypoints, int threshold)#518",1,375,1491,48,20,0,20,2720,1,297,1,0.5773502691896258,1,0.5773502691896258,1,0.0228119913897201,1,0.0228119913897201
agast.MUT1046.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#1636",1,1410,1504,25,6,0,6,2346,3,297,1,0.5773502691896258,1,0.5773502691896258,1,0.1062298374825004,1,0.1062298374825004
agast.MUT2848.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4357",1,2278,1449,3,20,0,20,2409,16,297,1,0.7071067811865475,1,0.7071067811865475,1,0.0326847751548752,1,0.0326847751548752
agast.MUT834.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#1321",1,1374,1502,23,6,0,6,2551,3,297,1,0.5,1,0.5,1,0.1059673085535154,1,0.1059673085535154
agast.MUT1928.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#2961",1,1374,1512,21,6,0,6,2385,4,297,1,1.0,1,1.0,1,0.0559453957609867,1,0.0559453957609867
agast.MUT4792.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AgastFeatureDetector::create(int threshold, _Bool nonmaxSuppression, class AgastFeatureDetector::DetectorType type)#8032",1,1278,1444,17,20,3,17,4803,0,297,297,0.0,297,0.0,297,0.0,297,0.0
affine_feature.MUT99.cpp,"opencv_features2d/modules/features2d/src/affine_feature.cpp#AffineFeature_Impl::detectAndCompute(cv::InputArray _image, cv::InputArray _mask, int & keypoints, cv::OutputArray _descriptors, _Bool useProvidedKeypoints)#319",1,288,1157,163,20,0,20,5158,2,297,1,0.5773502691896258,1,0.5773502691896258,1,0.0313655599610183,1,0.0313655599610183
agast.MUT2223.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#3419",1,2285,1356,5,6,0,6,2304,3,297,1,0.5773502691896258,1,0.5773502691896258,1,0.1062751781840718,1,0.1062751781840718
agast.MUT2396.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#3679",1,2285,1450,11,20,0,20,2477,0,297,297,0.0,297,0.0,297,0.0,297,0.0
agast.MUT2344.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#3599",1,2285,1258,9,6,0,6,1898,2,297,1,0.7071067811865475,1,0.7071067811865475,1,0.0944105920409238,1,0.0944105920409238
agast.MUT2660.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4075",1,2245,1417,15,20,0,20,1756,0,297,297,0.0,297,0.0,297,0.0,297,0.0
agast.MUT677.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#1083",1,1377,1370,18,6,0,6,2004,4,297,1,0.5773502691896258,1,0.5773502691896258,1,0.0850017812611328,1,0.0850017812611328
mser.MUT135.cpp,"opencv_features2d/modules/features2d/src/mser.cpp#ConnectedComp::growHistory(struct cv::MSER_Impl::CompHistory *& hptr, struct cv::MSER_Impl::WParams & wp, int new_gray_level, _Bool final)#332",1,184,1470,99,20,1,19,1212,0,297,297,0.0,297,0.0,292,0.0,292,0.0
orb.MUT323.cpp,"opencv_features2d/modules/features2d/src/orb.cpp#ORB_Impl::detectAndCompute(cv::InputArray _image, cv::InputArray _mask, int & keypoints, cv::OutputArray _descriptors, _Bool useProvidedKeypoints)#1112",18,1212,1447,138,20,5,15,7056,96,297,1,0.9146591207600472,1,0.9146591207600472,1,0.0616519716476584,1,0.0616519716476584
agast.MUT1125.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#1755",1,1375,1512,17,20,0,20,1989,12,297,1,0.7071067811865475,1,0.7071067811865475,1,0.0431903105269939,1,0.0431903105269939
agast.MUT1205.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#1876",1,1372,1388,28,20,0,20,1929,11,297,1,0.7071067811865475,1,0.7071067811865475,1,0.0427872357924171,1,0.0427872357924171
affine_feature.MUT46.cpp,opencv_features2d/modules/features2d/src/affine_feature.cpp#skewedDetectAndCompute::operator()(const cv::Range & range)#207,1,284,1331,157,20,11,9,5711,0,297,297,0.0,297,0.0,297,0.0,297,0.0
orb.MUT265.cpp,"opencv_features2d/modules/features2d/src/orb.cpp#computeKeyPoints(const class cv::Mat & imagePyramid, const class cv::UMat & uimagePyramid, const class cv::Mat & maskPyramid, const int & layerInfo, const class cv::UMat & ulayerInfo, const int & layerScale, int & allKeypoints, int nfeatures, double scaleFactor, int edgeThreshold, int patchSize, class ORB::ScoreType scoreType, _Bool useOCL, int fastThreshold)#961",1,364,1680,95,20,7,13,9855,0,297,297,0.0,297,0.0,297,0.0,297,0.0
agast.MUT2758.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4219",1,2304,1384,8,6,0,6,2518,2,297,1,0.7071067811865475,1,0.7071067811865475,1,0.0945575530728369,1,0.0945575530728369
agast.MUT4775.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AgastFeatureDetector_Impl::detect(cv::InputArray _image, int & keypoints, cv::InputArray _mask)#7992",2,1543,1715,102,20,5,15,8278,8,297,1,0.7071067811865475,1,0.7071067811865475,1,0.0271623469762166,2,0.0131758897895193
agast.MUT2346.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#3603",1,2296,1409,8,6,0,6,2357,3,297,1,0.5773502691896258,1,0.5773502691896258,1,0.1064158487822609,1,0.1064158487822609
agast.MUT1201.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#1871",1,1429,1336,8,6,0,6,2375,3,297,1,0.7071067811865475,1,0.7071067811865475,1,0.1064213564213564,1,0.1064213564213564
agast.MUT3042.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4650",1,2273,1424,21,6,0,6,2297,2,297,1,0.7071067811865475,1,0.7071067811865475,1,0.0944299390774586,1,0.0944299390774586
mser.MUT482.cpp,"opencv_features2d/modules/features2d/src/mser.cpp#extractMSER_8uC3(const class cv::Mat & src, int & msers, int & bboxvec, const class MSER_Impl::Params & params)#953",1,206,1552,87,10,1,9,2111,1,297,1,0.7071067811865475,1,0.7071067811865475,1,0.0496212121212121,1,0.0496212121212121
agast.MUT1585.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#2449",1,1366,1360,10,20,0,20,2338,10,297,1,0.7071067811865475,1,0.7071067811865475,1,0.0427403578322774,1,0.0427403578322774
brisk.MUT216.cpp,"opencv_features2d/modules/features2d/src/brisk.cpp#BRISK_Impl::smoothedIntensity(const cv::Mat & image, const cv::Mat & integral, const float key_x, const float key_y, const unsigned int scale, const unsigned int rot, const unsigned int point)#655",3,2075,1651,96,20,2,18,5008,9,297,1,0.5773502691896258,1,0.5773502691896258,1,0.045,1,0.045
brisk.MUT226.cpp,"opencv_features2d/modules/features2d/src/brisk.cpp#BRISK_Impl::smoothedIntensity(const cv::Mat & image, const cv::Mat & integral, const float key_x, const float key_y, const unsigned int scale, const unsigned int rot, const unsigned int point)#668",3,2075,1419,93,20,2,18,4454,4,297,1,0.6666666666666666,1,0.6666666666666666,1,0.0416814557783487,1,0.0416814557783487
agast.MUT4844.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST(cv::InputArray _img, int & keypoints, int threshold, _Bool nonmax_suppression, class AgastFeatureDetector::DetectorType type)#8145",2,1499,1286,21,20,4,16,4024,0,297,297,0.0,297,0.0,297,0.0,297,0.0
mser.MUT460.cpp,"opencv_features2d/modules/features2d/src/mser.cpp#extractMSER_8uC3(const class cv::Mat & src, int & msers, int & bboxvec, const class MSER_Impl::Params & params)#919",1,184,1427,63,20,0,20,1950,0,297,297,0.0,297,0.0,296,0.0,296,0.0
agast.MUT3209.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4899",1,2283,1534,15,20,0,20,1912,12,297,1,0.7071067811865475,1,0.7071067811865475,1,0.0430848120341063,1,0.0430848120341063
agast.MUT2383.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#3659",1,2285,1406,7,20,0,20,1897,0,297,297,0.0,297,0.0,297,0.0,297,0.0
fast.MUT113.cpp,"opencv_features2d/modules/features2d/src/fast.cpp#FAST_t(cv::InputArray _img, int & keypoints, int threshold, _Bool nonmax_suppression)#251",1,123,1501,82,20,0,20,8471,0,297,297,0.0,297,0.0,297,0.0,297,0.0
agast.MUT2645.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4050",1,2284,1446,5,20,0,20,1788,0,297,297,0.0,297,0.0,297,0.0,297,0.0
AKAZEFeatures.MUT102.cpp,"opencv_features2d/modules/features2d/src/kaze/AKAZEFeatures.cpp#NonLinearScalarDiffusionStep::NonLinearScalarDiffusionStep(const class cv::Mat & Lt, const class cv::Mat & Lf, class cv::Mat & Lstep, float step_size)#237",5,631,1277,86,0,0,0,9012,25,297,3,0.3162277660168379,297,0.0,1,0.0250204265241859,297,0.0
agast.MUT2995.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4577",1,2285,1420,11,6,0,6,1333,4,297,1,0.7071067811865475,1,0.7071067811865475,1,0.056071964017991,1,0.056071964017991
agast.MUT592.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#956",1,1375,1567,10,6,0,6,1432,2,297,1,1.0,1,1.0,1,0.0947396404479447,1,0.0947396404479447
mser.MUT146.cpp,"opencv_features2d/modules/features2d/src/mser.cpp#ConnectedComp::growHistory(struct cv::MSER_Impl::CompHistory *& hptr, struct cv::MSER_Impl::WParams & wp, int new_gray_level, _Bool final)#354",1,166,1395,105,20,0,20,848,0,297,297,0.0,297,0.0,292,0.0,292,0.0
sift.dispatch.MUT90.cpp,"opencv_features2d/modules/features2d/src/sift.dispatch.cpp#SIFT_Impl::findScaleSpaceExtrema(const int & gauss_pyr, const int & dog_pyr, int & keypoints)#384",2,273,1260,166,11,0,11,4593,10,297,1,1.0,1,1.0,1,0.0750537469287469,1,0.0750537469287469
affine_feature.MUT71.cpp,"opencv_features2d/modules/features2d/src/affine_feature.cpp#skewedDetectAndCompute::affineSkew(float tilt, float phi, class cv::Mat & warpedImage, class cv::Mat & warpedMask, cv::Matx23f & pose)#253",1,272,1202,154,20,1,19,4750,1,297,1,0.5773502691896258,1,0.5773502691896258,1,0.024688005546568,1,0.024688005546568
sift.dispatch.MUT40.cpp,"opencv_features2d/modules/features2d/src/sift.dispatch.cpp#SIFT_Impl::buildGaussianPyramid(const class cv::Mat & base, int & pyr, int nOctaves)#234",11,169,1192,148,20,3,17,1051,70,297,1,0.5393598899705937,1,0.5393598899705937,1,0.0085447199462087,1,0.0085447199462087
nldiffusion_functions.MUT111.cpp,"opencv_features2d/modules/features2d/src/kaze/nldiffusion_functions.cpp#compute_derivative_kernels(cv::OutputArray _kx, cv::OutputArray _ky, int dx, int dy, int scale)#350",6,630,1373,87,20,0,20,10186,18,297,1,0.9258200997725514,1,0.9258200997725514,1,0.0441977078690814,1,0.0441977078690814
agast.MUT3310.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#5048",1,2281,1406,7,6,0,6,2304,3,297,1,0.7071067811865475,1,0.7071067811865475,1,0.1065850635264951,1,0.1065850635264951
agast.MUT2356.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#3617",1,2281,1490,23,20,0,20,2201,0,297,297,0.0,297,0.0,297,0.0,297,0.0
agast.MUT2630.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4029",1,2284,1466,36,20,0,20,2359,0,297,297,0.0,297,0.0,297,0.0,297,0.0
fast_score.MUT79.cpp,"opencv_features2d/modules/features2d/src/fast_score.cpp#cornerScore(const uchar * ptr, const int * pixel, int threshold)#209",2,227,1555,134,20,0,20,8412,45,297,3,0.7071067811865475,3,0.7071067811865475,1,0.0103799025405686,3,0.0046060057178002
agast.MUT206.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_5_8(cv::InputArray _img, int & keypoints, int threshold)#364",1,384,1358,16,6,0,6,2415,3,297,1,0.7071067811865475,1,0.7071067811865475,1,0.1066698202459791,1,0.1066698202459791
agast.MUT2846.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4355",1,2287,1400,7,20,0,20,2377,6,297,1,0.7071067811865475,1,0.7071067811865475,1,0.0402756560992773,1,0.0402756560992773
agast.MUT339.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_5_8(cv::InputArray _img, int & keypoints, int threshold)#566",1,374,1596,65,20,0,20,2452,6,297,1,0.7071067811865475,1,0.7071067811865475,1,0.0403698372948853,1,0.0403698372948853
brisk.MUT521.cpp,"opencv_features2d/modules/features2d/src/brisk.cpp#BriskScaleSpace::isMax2D(const int layer, const int x_layer, const int y_layer)#1240",3,3583,1575,87,20,2,18,7132,25,297,1,0.6666666666666666,1,0.6666666666666666,1,0.0260363072779704,1,0.0260363072779704
agast.MUT4755.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AgastFeatureDetector_Impl::AgastFeatureDetector_Impl(int _threshold, _Bool _nonmaxSuppression, enum cv::AgastFeatureDetector::DetectorType _type)#7948",1,1292,1463,11,19,1,18,4451,0,297,297,0.0,297,0.0,296,0.0,297,-0.0007107801658487
agast.MUT2248.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#3457",1,2238,1351,12,20,0,20,1644,0,297,297,0.0,297,0.0,297,0.0,297,0.0
orb.MUT284.cpp,"opencv_features2d/modules/features2d/src/orb.cpp#ORB_Impl::detectAndCompute(cv::InputArray _image, cv::InputArray _mask, int & keypoints, cv::OutputArray _descriptors, _Bool useProvidedKeypoints)#1043",16,1174,1451,100,20,0,20,6131,0,297,297,0.0,297,0.0,297,0.0,297,0.0
agast.MUT739.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#1177",1,1374,1485,5,6,0,6,1689,4,297,1,0.7071067811865475,1,0.7071067811865475,1,0.0847844463229078,1,0.0847844463229078
orb.MUT5.cpp,"opencv_features2d/modules/features2d/src/orb.cpp#HarrisResponses(const class cv::Mat & img, const int & layerinfo, int & pts, int blockSize, float harris_k)#143",1,372,1597,168,20,0,20,9557,25,297,1,1.0,3,0.7071067811865475,1,0.0138839129047207,3,0.0033609801051661
brisk.MUT827.cpp,"opencv_features2d/modules/features2d/src/brisk.cpp#BriskScaleSpace::getScoreMaxBelow(const int layer, const int x_layer, const int y_layer, const int threshold, _Bool & ismax, float & dx, float & dy)#1759",1,1796,1571,72,20,3,17,5146,0,297,297,0.0,297,0.0,297,0.0,297,0.0
agast.MUT2235.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#3435",1,2282,1390,22,6,0,6,1756,2,297,1,0.7071067811865475,1,0.7071067811865475,1,0.0946689432745209,1,0.0946689432745209
orb.MUT310.cpp,"opencv_features2d/modules/features2d/src/orb.cpp#ORB_Impl::detectAndCompute(cv::InputArray _image, cv::InputArray _mask, int & keypoints, cv::OutputArray _descriptors, _Bool useProvidedKeypoints)#1090",17,1234,1507,58,20,0,20,7849,187,297,1,0.9718253158075502,1,0.9718253158075502,1,0.0302130371696296,1,0.0302130371696296
brisk.MUT131.cpp,"opencv_features2d/modules/features2d/src/brisk.cpp#BRISK_Impl::generateKernel(const int & radiusList, const int & numberList, float dMax, float dMin, const int & _indexChange)#519",2,2075,1571,97,20,0,20,4623,0,297,297,0.0,297,0.0,297,0.0,297,0.0
AKAZEFeatures.MUT264.cpp,opencv_features2d/modules/features2d/src/kaze/AKAZEFeatures.cpp#AKAZEFeatures::Find_Scale_Space_Extrema(int & keypoints_by_layers)#815,4,355,1233,89,20,0,20,2039,0,297,297,0.0,297,0.0,296,0.0,296,0.0
agast.MUT2842.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4351",1,2181,1357,16,20,0,20,1609,0,297,297,0.0,297,0.0,297,0.0,297,0.0
agast.MUT36.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_5_8(cv::InputArray _img, int & keypoints, int threshold)#107",1,383,1413,43,20,0,20,1971,0,297,297,0.0,297,0.0,297,0.0,297,0.0
agast.MUT2434.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#3734",1,2285,1439,21,6,0,6,1549,3,297,1,0.5773502691896258,1,0.5773502691896258,1,0.1058525345622119,1,0.1058525345622119
agast.MUT11.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_5_8(cv::InputArray _img, int & keypoints, int threshold)#76",1,354,1519,72,20,0,20,1977,3,297,1,0.5773502691896258,1,0.5773502691896258,1,0.0351124271751167,1,0.0351124271751167
agast.MUT1192.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#1856",1,1377,1366,10,20,0,20,1564,1,297,1,0.5773502691896258,1,0.5773502691896258,1,0.0228966986155484,1,0.0228966986155484
agast.MUT1919.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#2949",1,1377,1364,13,6,0,6,1686,7,297,1,1.0,1,1.0,1,0.0706664408501989,1,0.0706664408501989
agast.MUT3511.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#OAST_9_16(cv::InputArray _img, int & keypoints, int threshold)#5370",2,1860,1594,105,20,0,20,5583,17,297,2,0.5,2,0.5,1,0.0105009829842044,1,0.0105009829842044
mser.MUT304.cpp,"opencv_features2d/modules/features2d/src/mser.cpp#preprocessMSER_8uC3(struct cv::MSCRNode * node, struct cv::MSCREdge * edge, double * total, const class cv::Mat & src, class cv::Mat & dx, class cv::Mat & dy, int Ne, int edgeBlurSize)#705",1,90,1268,55,20,0,20,1706,0,297,297,0.0,297,0.0,296,0.0,296,0.0
agast.MUT277.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_5_8(cv::InputArray _img, int & keypoints, int threshold)#471",1,383,1456,65,6,0,6,2061,5,297,1,1.0,1,1.0,1,0.0708050436469447,1,0.0708050436469447
affine_feature.MUT17.cpp,"opencv_features2d/modules/features2d/src/affine_feature.cpp#AffineFeature_Impl::AffineFeature_Impl(const Ptr<cv::FeatureDetector> & backend, int maxTilt, int minTilt, float tiltStep, float rotateStepBase)#120",1,270,1125,104,20,7,13,4990,0,297,297,0.0,297,0.0,297,0.0,297,0.0
agast.MUT3778.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#OAST_9_16(cv::InputArray _img, int & keypoints, int threshold)#5802",1,1149,1403,30,20,0,20,4668,32,297,1,1.0,1,1.0,1,0.0080209645427036,1,0.0080209645427036
