bug_name,buggy_line_key,# of failing Tcs,# of lines executed by failing TCs,# of mutants,# of uncompilable mutants,# of mutans on buggy line,# of uncompilable mutants on buggy line,# of compilable mutants on buggy line,total p2f (all mutants),total f2p (all mutants),# of functions,# of func. executed by failing TCs,# of function with same highest met score,met score of highest rank,rank of buggy function (function level) (met),met score of buggy function,rank of buggy function among func. executed by failing tcs (met),met accuracy among func. executed by failing tcs,# of function with same highest muse score,muse score of highest rank,rank of buggy function (function level) (muse),muse score of buggy function,rank of buggy function among func. executed by failing tcs (muse),muse accuracy among func. executed by failing tcs
elementwise_layers.MUT254.cpp,"opencv_dnn/modules/dnn/src/layers/elementwise_layers.cpp#HardSwishFunctor::supportBackend(int backendId, int )#1893",2,1095,935,344,20,0,20,149706,42,1096,114,1,1.0,1,1.0,1,0.8771929824561403,1,0.0265780730897009,1,0.0265780730897009,1,0.8771929824561403
convolution_layer.MUT73.cpp,"opencv_dnn/modules/dnn/src/layers/convolution_layer.cpp#ConvolutionLayerImpl::getMemoryShapes(const int & inputs, const int requiredOutputs, int & outputs, int & internals)#399",646,5509,1406,336,20,2,18,51425,1292,1095,486,1,1.0,1,1.0,1,0.205761316872428,1,0.0525908739365815,1,0.0525908739365815,1,0.205761316872428
darknet_io.MUT231.cpp,"opencv_dnn/modules/dnn/src/darknet/darknet_io.cpp#setLayersParams::setRegion(float thresh, int coords, int classes, int anchors, int classfix, int softmax, int softmax_tree, float * biasData)#515",3,278,1094,346,11,6,5,78064,19,1095,22,1,1.0,1,1.0,1,4.545454545454546,1,0.025,1,0.025,1,4.545454545454546
nary_eltwise_layers.MUT117.cpp,opencv_dnn/modules/dnn/src/layers/nary_eltwise_layers.cpp#NaryEltwiseLayerImpl::findCommonShape(int shapes)#314,60,4745,1233,372,13,0,13,76328,60,1095,415,1,1.0,1,1.0,1,0.24096385542168677,1,0.0702576112412178,1,0.0702576112412178,1,0.24096385542168677
onnx_graph_simplifier.MUT705.cpp,opencv_dnn/modules/dnn/src/onnx/onnx_graph_simplifier.cpp#getMatFromTensor(const opencv_onnx::TensorProto & tensor_proto)#1778,12,1187,966,434,5,0,5,99512,0,1095,115,1095,0.0,1095,0.0,115,100.0,1095,0.0,1095,0.0,115,100.0
einsum_layer.MUT293.cpp,opencv_dnn/modules/dnn/src/layers/einsum_layer.cpp#LayerEinsumImpl::processEquation(const int & inputs)#965,9,1104,1101,465,20,0,20,119859,40,1095,105,1,1.0,1,1.0,1,0.9523809523809524,1,0.0394889663182346,1,0.0394889663182346,1,0.9523809523809524
convolution_layer.MUT49.cpp,opencv_dnn/modules/dnn/src/layers/convolution_layer.cpp#BaseConvolutionLayerImpl::tryFuse(Ptr<class cv::dnn::dnn4_v20240521::Layer> & top)#196,4,2292,1098,298,5,0,5,69593,24,1095,200,1,1.0,1,1.0,1,0.5,1,0.0376502134469698,2,0.0266666666666666,2,1.0
arg_layer.MUT14.cpp,"opencv_dnn/modules/dnn/src/layers/arg_layer.cpp#ArgLayerImpl::getMemoryShapes(const int & inputs, const int requiredOutputs, int & outputs, int & internals)#66",1,991,1133,440,4,1,3,138194,1,1095,101,1,1.0,1,1.0,1,0.9900990099009901,1,0.125,1,0.125,1,0.9900990099009901
onnx_importer.MUT1574.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseQEltwise(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto_)#3702",1,1139,1149,451,20,6,14,142635,0,1095,116,1095,0.0,1095,0.0,116,100.0,1094,0.0,1094,0.0,115,99.13793103448276
gemm_layer.MUT47.cpp,"opencv_dnn/modules/dnn/src/layers/gemm_layer.cpp#GemmLayerImpl::broadcastCWtihBeta(int M, int N, const class cv::Mat & C)#126",11,4253,1294,273,20,0,20,79715,31,1095,397,1,1.0,1,1.0,1,0.2518891687657431,1,0.0461309523809523,1,0.0461309523809523,1,0.2518891687657431
slice_layer.MUT14.cpp,"opencv_dnn/modules/dnn/src/layers/slice_layer.cpp#tranformForNegSteps(const cv::dnn::dnn4_v20240521::MatShape & inpShape, int & sliceRanges, int & sliceSteps)#104",1,1287,954,375,20,1,19,136933,5,1095,122,1,1.0,1,1.0,1,0.819672131147541,1,0.0416666666666666,1,0.0416666666666666,1,0.819672131147541
torch_importer.MUT427.cpp,"opencv_dnn/modules/dnn/src/torch/torch_importer.cpp#TorchImporter::fill(struct cv::dnn::dnn4_v20240521::TorchImporter::Module * module, int & addedModules, int prevLayerId, int prevOutNum)#1051",26,657,1097,348,20,3,17,54392,63,1095,41,1,0.8320502943378436,1,0.8320502943378436,1,2.4390243902439024,1,0.0279605263157894,1,0.0279605263157894,1,2.4390243902439024
graph_simplifier.MUT5.cpp,"opencv_dnn/modules/dnn/src/graph_simplifier.cpp#Subgraph::addNodeToMatch(const std::string & op, int input_0, int input_1, int input_2, int input_3)#25",44,4489,1264,325,20,3,17,105411,9,1095,397,1,0.1507556722888818,1095,0.0,397,100.0,1,0.0428571428571428,1094,0.0,396,99.74811083123426
nary_eltwise_layers.MUT47.cpp,opencv_dnn/modules/dnn/src/layers/nary_eltwise_layers.cpp#NaryEltwiseHelper::prepare_for_broadcast_op()#135,52,5003,1276,333,20,2,18,90912,94,1095,454,1,0.6793662204867574,1,0.6793662204867574,1,0.22026431718061676,1,0.0498614958448753,1,0.0498614958448753,1,0.22026431718061676
eltwise_layer.MUT264.cpp,"opencv_dnn/modules/dnn/src/layers/eltwise_layer.cpp#EltwiseLayerImpl::tryQuantize(const int & scales, const int & zeropoints, class cv::dnn::dnn4_v20240521::LayerParams & params)#947",1,3568,1319,384,20,0,20,82162,9,1095,330,1,1.0,1,1.0,1,0.30303030303030304,1,0.0428571428571428,1,0.0428571428571428,1,0.30303030303030304
torch_importer.MUT440.cpp,"opencv_dnn/modules/dnn/src/torch/torch_importer.cpp#TorchImporter::fill(struct cv::dnn::dnn4_v20240521::TorchImporter::Module * module, int & addedModules, int prevLayerId, int prevOutNum)#1074",1,234,1103,326,20,3,17,120176,0,1095,32,1095,0.0,1095,0.0,32,100.0,1092,0.0,1092,0.0,29,90.625
onnx_graph_simplifier.MUT290.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_graph_simplifier.cpp#LayerNormSubGraph::match(const Ptr<class cv::dnn::ImportGraphWrapper> & net, int nodeId, int & matchedNodesIds)#857",1,1233,1103,385,20,3,17,154270,6,1095,127,1,1.0,1,1.0,1,0.7874015748031495,1,0.0476190476190476,1,0.0476190476190476,1,0.7874015748031495
lrn_layer.MUT46.cpp,opencv_dnn/modules/dnn/src/layers/lrn_layer.cpp#ChannelLRN::operator()(const class cv::Range & r)#226,4,1612,1319,438,20,0,20,129938,0,1095,164,1095,0.0,1095,0.0,164,100.0,1095,0.0,1095,0.0,164,100.0
shuffle_channel_layer.MUT24.cpp,"opencv_dnn/modules/dnn/src/layers/shuffle_channel_layer.cpp#ShuffleChannelLayerImpl::finalize(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr)#71",6,267,400,97,18,2,16,162716,55,1095,23,1,1.0,1,1.0,1,4.3478260869565215,1,0.0504201680672268,1,0.0504201680672268,1,4.3478260869565215
torch_importer.MUT481.cpp,"opencv_dnn/modules/dnn/src/torch/torch_importer.cpp#TorchImporter::fill(struct cv::dnn::dnn4_v20240521::TorchImporter::Module * module, int & addedModules, int prevLayerId, int prevOutNum)#1143",2,464,703,193,20,3,17,150444,4,1095,51,1,1.0,1,1.0,1,1.9607843137254901,1,0.0444444444444444,1,0.0444444444444444,1,1.9607843137254901
region_layer.MUT109.cpp,"opencv_dnn/modules/dnn/src/layers/region_layer.cpp#RegionLayerImpl::do_nms_sort(float * detections, int total, float score_thresh, float nms_thresh)#368",1,574,979,175,20,0,20,122861,0,1095,43,1095,0.0,1095,0.0,43,100.0,1094,0.0,1094,0.0,42,97.67441860465115
recurrent_layers.MUT146.cpp,"opencv_dnn/modules/dnn/src/layers/recurrent_layers.cpp#LSTMLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#461",2,1894,950,345,20,1,19,87946,2,1095,171,1,1.0,1,1.0,1,0.5847953216374269,1,0.0333333333333333,1,0.0333333333333333,1,0.5847953216374269
darknet_io.MUT416.cpp,"opencv_dnn/modules/dnn/src/darknet/darknet_io.cpp#ReadDarknetFromCfgStream(std::istream & ifile, class cv::dnn::darknet::NetParameter * net)#837",2,146,1181,365,20,3,17,175016,20,1095,14,1,1.0,1,1.0,1,7.142857142857142,1,0.0264550264550264,1,0.0264550264550264,1,7.142857142857142
onnx_importer.MUT169.cpp,opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseOperatorSet()#705,18,1342,1295,436,4,0,4,149290,0,1095,130,1095,0.0,1095,0.0,130,100.0,1094,0.0,1094,0.0,129,99.23076923076923
tf_importer.MUT691.cpp,"opencv_dnn/modules/dnn/src/tensorflow/tf_importer.cpp#TFImporter::parseMul(tensorflow::GraphDef & net, const tensorflow::NodeDef & layer, class cv::dnn::dnn4_v20240521::LayerParams & layerParams)#1825",6,1683,1172,371,20,7,13,52642,6,1095,142,1,1.0,1,1.0,1,0.7042253521126761,1,0.0612244897959183,1,0.0612244897959183,1,0.7042253521126761
pooling_layer.MUT418.cpp,"opencv_dnn/modules/dnn/src/layers/pooling_layer.cpp#PoolingLayerImpl::getMemoryShapes(const int & inputs, const int requiredOutputs, int & outputs, int & internals)#1358",336,4635,1162,382,11,0,11,45235,1014,1095,423,1,1.0,1,1.0,1,0.2364066193853428,1,0.0832512315270936,1,0.0832512315270936,1,0.2364066193853428
tf_importer.MUT2.cpp,opencv_dnn/modules/dnn/src/tensorflow/tf_importer.cpp#toNCHW(int idx)#55,18,4014,1359,420,20,0,20,132791,36,1095,375,1,0.7817359599705717,1,0.7817359599705717,1,0.26666666666666666,1,0.0373230373230373,1,0.0373230373230373,1,0.26666666666666666
reduce_layer.MUT19.cpp,opencv_dnn/modules/dnn/src/layers/reduce_layer.cpp#ReduceLayerImpl::ReduceLayerImpl(const class cv::dnn::dnn4_v20240521::LayerParams & params)#36,8,997,1013,463,11,4,7,130910,32,1095,95,1,1.0,1,1.0,1,1.0526315789473684,1,0.1212121212121212,1,0.1212121212121212,1,1.0526315789473684
einsum_layer.MUT270.cpp,opencv_dnn/modules/dnn/src/layers/einsum_layer.cpp#LayerEinsumImpl::processEquation(const int & inputs)#884,13,1065,1096,422,20,1,19,118588,104,1095,104,1,1.0,1,1.0,1,0.9615384615384616,1,0.0495238095238095,1,0.0495238095238095,1,0.9615384615384616
onnx_importer.MUT1531.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseQEltwise(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto_)#3640",1,1158,1141,565,20,0,20,106308,3,1095,122,1,1.0,1,1.0,1,0.819672131147541,1,0.0357142857142857,1,0.0357142857142857,1,0.819672131147541
tf_importer.MUT808.cpp,"opencv_dnn/modules/dnn/src/tensorflow/tf_importer.cpp#TFImporter::parseBlockLSTM(tensorflow::GraphDef & net, const tensorflow::NodeDef & layer, class cv::dnn::dnn4_v20240521::LayerParams & layerParams)#2095",1,299,1158,428,20,8,12,67864,3,1095,33,1,1.0,1,1.0,1,3.0303030303030303,1,0.0576923076923076,1,0.0576923076923076,1,3.0303030303030303
onnx_importer.MUT792.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseSqueeze(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto)#2125",6,1977,1001,291,20,1,19,92279,52,1095,176,1,1.0,1,1.0,1,0.5681818181818182,1,0.0490566037735849,1,0.0490566037735849,1,0.5681818181818182
onnx_importer.MUT1285.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseLayerNorm(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto)#3170",14,1208,1146,359,20,0,20,126657,38,1095,116,1,0.7071067811865476,1,0.7071067811865476,1,0.8620689655172413,1,0.0463980463980464,1,0.0463980463980464,1,0.8620689655172413
nary_eltwise_layers.MUT291.cpp,"opencv_dnn/modules/dnn/src/layers/nary_eltwise_layers.cpp#NaryEltwiseLayerImpl::opDispatch(size_t ninputs, Args &&... args)#640",3,1534,1101,381,9,4,5,181679,3,1095,164,1,1.0,1,1.0,1,0.6097560975609756,1,0.125,1,0.125,1,0.6097560975609756
einsum_layer.MUT100.cpp,opencv_dnn/modules/dnn/src/layers/einsum_layer.cpp#LayerEinsumImpl::LayerEinsumImpl(const class cv::dnn::dnn4_v20240521::LayerParams & params)#390,13,1047,968,422,11,6,5,139197,0,1095,102,1095,0.0,1095,0.0,102,100.0,1094,0.0,1094,0.0,101,99.01960784313727
nary_eltwise_layers.MUT187.cpp,"opencv_dnn/modules/dnn/src/layers/nary_eltwise_layers.cpp#NaryEltwiseLayerImpl::nary_forward_impl(const Functor & f, const T scale, int ninputs, int ndims, const int & shape, const char ** inp, char * out, const int & steps, int & ptrs)#445",3,378,602,127,20,2,18,116114,33,1095,28,1,0.2401922307076306,1095,0.0,28,100.0,1,0.0349158621337244,1094,0.0,27,96.42857142857143
region_layer.MUT9.cpp,opencv_dnn/modules/dnn/src/layers/region_layer.cpp#RegionLayerImpl::RegionLayerImpl(const class cv::dnn::dnn4_v20240521::LayerParams & params)#91,1,557,927,220,20,5,15,35556,0,1095,42,1095,0.0,1095,0.0,42,100.0,1095,0.0,1095,0.0,42,100.0
reshape_layer.MUT50.cpp,opencv_dnn/modules/dnn/src/layers/reshape_layer.cpp#ReshapeLayerImpl::ReshapeLayerImpl(const class cv::dnn::dnn4_v20240521::LayerParams & params)#176,3,456,856,227,20,1,19,97146,39,1095,44,1,1.0,1,1.0,1,2.272727272727273,1,0.0225,1,0.0225,1,2.272727272727273
torch_importer.MUT140.cpp,opencv_dnn/modules/dnn/src/torch/torch_importer.cpp#TorchImporter::readTorchObject(int index)#508,1,477,754,217,20,13,7,101839,2,1095,40,1,1.0,1,1.0,1,2.5,1,0.1111111111111111,1,0.1111111111111111,1,2.5
onnx_importer.MUT773.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseTranspose(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto)#2089",1,1731,1142,350,20,4,16,93326,2,1095,168,1,1.0,1,1.0,1,0.5952380952380952,1,0.0392156862745098,1,0.0392156862745098,1,0.5952380952380952
tf_importer.MUT195.cpp,"opencv_dnn/modules/dnn/src/tensorflow/tf_importer.cpp#TFImporter::parseConvolution(tensorflow::GraphDef & net, const tensorflow::NodeDef & layer_, class cv::dnn::dnn4_v20240521::LayerParams & layerParams)#721",4,1492,1092,388,20,8,12,99561,16,1095,129,1,1.0,1,1.0,1,0.7751937984496124,1,0.0361990950226244,1,0.0361990950226244,1,0.7751937984496124
onnx_importer.MUT631.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseClip(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto)#1792",1,1044,1014,451,20,0,20,159053,9,1095,111,1,1.0,1,1.0,1,0.9009009009009009,1,0.0428571428571428,1,0.0428571428571428,1,0.9009009009009009
recurrent_layers.MUT42.cpp,opencv_dnn/modules/dnn/src/layers/recurrent_layers.cpp#LSTMLayerImpl::LSTMLayerImpl(const class cv::dnn::dnn4_v20240521::LayerParams & params)#214,18,1668,1142,389,20,6,14,73573,0,1095,148,1095,0.0,1095,0.0,148,100.0,1094,0.0,1094,0.0,147,99.32432432432432
darknet_io.MUT175.cpp,"opencv_dnn/modules/dnn/src/darknet/darknet_io.cpp#setLayersParams::setSlice(int input_index, int split_size, int group_id)#422",1,361,625,164,16,9,7,136980,1,1095,24,1,1.0,1,1.0,1,4.166666666666666,1,0.0625,1,0.0625,1,4.166666666666666
mvn_layer.MUT3.cpp,opencv_dnn/modules/dnn/src/layers/mvn_layer.cpp#MVNLayerImpl::MVNLayerImpl(const class cv::dnn::dnn4_v20240521::LayerParams & params)#77,6,1877,1224,323,20,6,14,100656,40,1095,181,1,0.8164965809277261,1,0.8164965809277261,1,0.5524861878453038,1,0.065040650406504,1,0.065040650406504,1,0.5524861878453038
elementwise_layers.MUT490.cpp,opencv_dnn/modules/dnn/src/layers/elementwise_layers.cpp#ExpLayer::create(const class cv::dnn::dnn4_v20240521::LayerParams & params)#3122,3,1045,922,366,20,2,18,125562,0,1095,111,1095,0.0,1095,0.0,111,100.0,1094,0.0,1094,0.0,110,99.09909909909909
nary_eltwise_layers.MUT339.cpp,"opencv_dnn/modules/dnn/src/layers/nary_eltwise_layers.cpp#NaryEltwiseLayerImpl::opDispatch(size_t ninputs, Args &&... args)#712",3,1767,1158,429,19,6,13,91867,0,1095,175,1095,0.0,1095,0.0,175,100.0,1095,0.0,1095,0.0,175,100.0
convolution_layer.MUT386.cpp,opencv_dnn/modules/dnn/src/layers/convolution_layer.cpp#Col2ImInvoker::operator()(const class cv::Range & r)#1842,7,2745,1193,340,20,0,20,90247,1,1095,260,1,0.3779644730092272,1,0.3779644730092272,1,0.38461538461538464,1,0.0238095238095238,1,0.0238095238095238,1,0.38461538461538464
eltwise_layer.MUT66.cpp,"opencv_dnn/modules/dnn/src/layers/eltwise_layer.cpp#EltwiseLayerImpl::getMemoryShapes(const int & inputs, const int requiredOutputs, int & outputs, int & internals)#250",3,1950,1077,343,20,0,20,82324,3,1095,164,1,1.0,1,1.0,1,0.6097560975609756,1,0.0357142857142857,1,0.0357142857142857,1,0.6097560975609756
torch_importer.MUT56.cpp,"opencv_dnn/modules/dnn/src/torch/torch_importer.cpp#TorchImporter::readTorchStorage(int index, int type)#293",3,716,963,183,20,1,19,102049,0,1095,62,1095,0.0,1095,0.0,62,100.0,1094,0.0,1094,0.0,61,98.38709677419355
einsum_layer.MUT227.cpp,opencv_dnn/modules/dnn/src/layers/einsum_layer.cpp#LayerEinsumImpl::calculateOutputShape()#757,9,1471,1001,264,20,6,14,93823,92,1095,138,1,1.0,1,1.0,1,0.7246376811594203,1,0.0376344086021505,2,0.0157706093189964,2,1.4492753623188406
reduce_layer.MUT126.cpp,"opencv_dnn/modules/dnn/src/layers/reduce_layer.cpp#ReduceInvoker::ReduceInvoker<Op>(const class cv::Mat & src_, class cv::Mat & dst_, int axes_)#370",4,2992,1163,374,7,0,7,90656,4,1095,288,1,1.0,1,1.0,1,0.3472222222222222,1,0.1,1,0.1,1,0.3472222222222222
recurrent_layers.MUT229.cpp,"opencv_dnn/modules/dnn/src/layers/recurrent_layers.cpp#LSTMLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#597",1,1059,1026,238,20,7,13,66453,4,1095,88,1,1.0,1,1.0,1,1.1363636363636365,1,0.0571428571428571,1,0.0571428571428571,1,1.1363636363636365
gather_elements_layer.MUT41.cpp,"opencv_dnn/modules/dnn/src/layers/gather_elements_layer.cpp#GatherElementsLayerImpl::forward_impl(const class cv::Mat & data_, const class cv::Mat & indices_, class cv::Mat & out_)#119",1,1055,1181,494,20,1,19,134590,0,1095,108,1095,0.0,1095,0.0,108,100.0,1095,0.0,1095,0.0,108,100.0
onnx_importer.MUT1583.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseQEltwise(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto_)#3720",4,1343,1100,415,20,10,10,114910,14,1095,124,1,1.0,1,1.0,1,0.8064516129032258,1,0.0848484848484848,1,0.0848484848484848,1,0.8064516129032258
tf_graph_simplifier.MUT138.cpp,opencv_dnn/modules/dnn/src/tensorflow/tf_graph_simplifier.cpp#L2NormalizeSubgraph::L2NormalizeSubgraph()#385,2,872,1359,547,20,5,15,53308,10,1095,83,1,1.0,1,1.0,1,1.2048192771084338,1,0.0568181818181818,1,0.0568181818181818,1,1.2048192771084338
flow_warp_layer.MUT38.cpp,"opencv_dnn/modules/dnn/src/layers/flow_warp_layer.cpp#FlowWarpLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#87",1,353,583,67,20,0,20,73034,2,1095,30,1,1.0,1,1.0,1,3.3333333333333335,1,0.0317460317460317,1,0.0317460317460317,1,3.3333333333333335
slice_layer.MUT162.cpp,opencv_dnn/modules/dnn/src/layers/slice_layer.cpp#CropLayerImpl::CropLayerImpl(const class cv::dnn::dnn4_v20240521::LayerParams & params)#867,18,270,263,58,6,0,6,131588,358,1095,22,1,1.0,1,1.0,1,4.545454545454546,1,0.022284122562674,3,0.0071627536808595,3,13.636363636363635
reduce_layer.MUT31.cpp,"opencv_dnn/modules/dnn/src/layers/reduce_layer.cpp#ReduceLayerImpl::finalize(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr)#61",36,2601,1327,464,14,1,13,97903,180,1095,245,1,1.0,1,1.0,1,0.40816326530612246,1,0.0710339384372533,1,0.0710339384372533,1,0.40816326530612246
pooling_layer.MUT82.cpp,"opencv_dnn/modules/dnn/src/layers/pooling_layer.cpp#PoolingLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#361",306,4345,1278,452,20,0,20,55889,3500,1095,395,1,1.0,1,1.0,1,0.25316455696202533,1,0.0475782429509935,1,0.0475782429509935,1,0.25316455696202533
resize_layer.MUT108.cpp,"opencv_dnn/modules/dnn/src/layers/resize_layer.cpp#ResizeLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#237",6,2825,1240,407,20,0,20,71268,10,1095,272,1,1.0,1,1.0,1,0.3676470588235294,1,0.0432900432900432,1,0.0432900432900432,1,0.3676470588235294
permute_layer.MUT10.cpp,opencv_dnn/modules/dnn/src/layers/permute_layer.cpp#PermuteLayerImpl::PermuteLayerImpl(const class cv::dnn::dnn4_v20240521::LayerParams & params)#94,78,5349,1086,346,20,0,20,32357,349,1095,471,1,1.0,1,1.0,1,0.21231422505307856,1,0.0465306122448979,1,0.0465306122448979,1,0.21231422505307856
pooling_layer.MUT309.cpp,opencv_dnn/modules/dnn/src/layers/pooling_layer.cpp#PoolingInvoker::operator()(const class cv::Range & r)#1032,44,5484,1223,316,18,0,18,70225,1,1095,478,1,0.1507556722888818,1,0.1507556722888818,1,0.20920502092050208,1,0.0263157894736842,1,0.0263157894736842,1,0.20920502092050208
elementwise_layers.MUT276.cpp,opencv_dnn/modules/dnn/src/layers/elementwise_layers.cpp#CeluFunctor::calculate(float x)#2087,2,1176,1243,452,20,7,13,128237,25,1095,124,1,0.5,1095,0.0,124,100.0,1,0.02366264059126,1095,0.0,124,100.0
prior_box_layer.MUT123.cpp,"opencv_dnn/modules/dnn/src/layers/prior_box_layer.cpp#PriorBoxLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#459",3,709,941,230,20,0,20,67225,12,1095,59,1,1.0,1,1.0,1,1.694915254237288,1,0.0439560439560439,1,0.0439560439560439,1,1.694915254237288
