bug_name,key,total # of functions,# of functions with same highest Binary score,Binary score of highest rank,rank of buggy function (Binary),Binary score of buggy function,# of functions with same highest GP13 score,GP13 score of highest rank,rank of buggy function (GP13),GP13 score of buggy function,# of functions with same highest Jaccard score,Jaccard score of highest rank,rank of buggy function (Jaccard),Jaccard score of buggy function,# of functions with same highest Naish1 score,Naish1 score of highest rank,rank of buggy function (Naish1),Naish1 score of buggy function,# of functions with same highest Naish2 score,Naish2 score of highest rank,rank of buggy function (Naish2),Naish2 score of buggy function,# of functions with same highest Ochiai score,Ochiai score of highest rank,rank of buggy function (Ochiai),Ochiai score of buggy function,# of functions with same highest Russel+Rao score,Russel+Rao score of highest rank,rank of buggy function (Russel+Rao),Russel+Rao score of buggy function,# of functions with same highest Wong1 score,Wong1 score of highest rank,rank of buggy function (Wong1),Wong1 score of buggy function
contours.MUT1.cpp,"opencv_imgproc/modules/imgproc/src/contours.cpp#cvStartReadChainPoints(CvChain * chain, CvChainPtReader * reader)#62",654,6,1,6,1,5,40.0,5,40.0,5,1.0,5,1.0,5,1415,5,1415,5,39.0,5,39.0,5,1.0,5,1.0,6,0.0268225584594222,6,0.0268225584594222,6,39,6,39
imgwarp.sse4_1.MUT195.cpp,"opencv_imgproc/modules/imgproc/src/imgwarp.sse4_1.cpp#WarpPerspectiveLine_SSE4_Impl::processNN(const double * M, short * xy, double X0, double Y0, double W0, int bw)#341",654,5,1,5,1,5,2.0,5,2.0,5,1.0,5,1.0,5,1451,5,1451,5,1.0,5,1.0,5,1.0,5,1.0,5,0.0006887052341597,5,0.0006887052341597,5,1,5,1
resize.MUT812.cpp,"opencv_imgproc/modules/imgproc/src/resize.cpp#VResizeLanczos4Vec_32f::operator()(const float ** src, float * dst, const float * beta, int width)#1544",654,27,1,27,1,11,2.0,11,2.0,11,1.0,11,1.0,11,1452,11,1452,11,1.0,11,1.0,11,1.0,11,1.0,27,0.0006882312456985,27,0.0006882312456985,27,1,27,1
color_lab.MUT1073.cpp,"opencv_imgproc/modules/imgproc/src/color_lab.cpp#Lab2RGBfloat::operator()(const float * src, float * dst, int n)#2319",654,31,1,31,1,5,2.0,5,2.0,5,1.0,5,1.0,5,1453,5,1453,5,1.0,5,1.0,5,1.0,5,1.0,31,0.0006877579092159,31,0.0006877579092159,31,1,31,1
resize.MUT854.cpp,"opencv_imgproc/modules/imgproc/src/resize.cpp#HResizeLinearVec_X4::operator()(const ST ** src, DT ** dst, int count, const int * xofs, const AT * alpha, int , int , int cn, int , int xmax)#1625",654,31,1,31,1,17,3.0,17,3.0,17,1.0,17,1.0,17,1452,17,1452,17,2.0,17,2.0,17,1.0,17,1.0,31,0.0013755158184319,31,0.0013755158184319,31,2,31,2
grabcut.MUT77.cpp,"opencv_imgproc/modules/imgproc/src/grabcut.cpp#GMM::calcInverseCovAndDeterm(int ci, const double singularFix)#216",654,9,1,9,1,1,2.0,1,2.0,1,1.0,1,1.0,1,1453,1,1453,1,1.0,1,1.0,1,1.0,1,1.0,9,0.0006877579092159,9,0.0006877579092159,9,1,9,1
resize.avx2.MUT51.cpp,opencv_imgproc/modules/imgproc/src/resize.avx2.cpp#resizeNNInvokerAVX2::operator()(const class cv::Range & range)#179,654,63,1,63,1,11,2.0,11,2.0,11,1.0,11,1.0,11,1453,11,1453,11,1.0,11,1.0,11,1.0,11,1.0,63,0.0006877579092159,63,0.0006877579092159,63,1,63,1
contours.MUT306.cpp,"opencv_imgproc/modules/imgproc/src/contours.cpp#icvFetchContourEx_32s(int * ptr, int step, CvPoint pt, CvSeq * contour, int _method, CvRect * _rect)#961",654,23,1,23,1,4,13.0,4,13.0,4,1.0,4,1.0,4,1442,4,1442,4,12.0,4,12.0,4,1.0,4,1.0,23,0.0082530949105914,23,0.0082530949105914,23,12,23,12
templmatch.MUT231.cpp,"opencv_imgproc/modules/imgproc/src/templmatch.cpp#common_matchTemplate(class cv::Mat & img, class cv::Mat & templ, class cv::Mat & result, int method, int cn)#1016",654,10,1,10,1,1,34.0,1,34.0,1,1.0,1,1.0,1,1421,1,1421,1,33.0,1,33.0,1,1.0,1,1.0,10,0.0226960110041265,10,0.0226960110041265,10,33,10,33
color_lab.MUT575.cpp,"opencv_imgproc/modules/imgproc/src/color_lab.cpp#initLUTforLABLUVs16(const struct cv::softfloat & un, const struct cv::softfloat & vn)#1182",654,21,1,21,1,21,3.0,21,3.0,21,1.0,21,1.0,21,1447,21,1447,21,2.0,21,2.0,21,1.0,21,1.0,21,0.0013802622498274,21,0.0013802622498274,21,2,21,2
demosaicing.MUT582.cpp,"opencv_imgproc/modules/imgproc/src/demosaicing.cpp#Bayer2RGB_VNG_8u(const class cv::Mat & srcmat, class cv::Mat & dstmat, int code)#1250",654,3,1,3,1,2,3.0,2,3.0,2,1.0,2,1.0,2,1452,2,1452,2,2.0,2,2.0,2,1.0,2,1.0,3,0.0013755158184319,3,0.0013755158184319,3,2,3,2
demosaicing.MUT216.cpp,opencv_imgproc/modules/imgproc/src/demosaicing.cpp#Bayer2Gray_Invoker::operator()(const class cv::Range & range)#648,654,6,1,6,1,5,2.0,5,2.0,5,1.0,5,1.0,5,1453,5,1453,5,1.0,5,1.0,5,1.0,5,1.0,6,0.0006877579092159,6,0.0006877579092159,6,1,6,1
color_lab.MUT1936.cpp,"opencv_imgproc/modules/imgproc/src/color_lab.cpp#cvtBGRtoXYZ(const uchar * src_data, size_t src_step, uchar * dst_data, size_t dst_step, int width, int height, int depth, int scn, _Bool swapBlue)#4163",654,13,1,13,1,12,2.0,12,2.0,12,1.0,12,1.0,12,1453,12,1453,12,1.0,12,1.0,12,1.0,12,1.0,13,0.0006877579092159,13,0.0006877579092159,13,1,13,1
resize.avx2.MUT25.cpp,opencv_imgproc/modules/imgproc/src/resize.avx2.cpp#resizeNNInvokerAVX4::operator()(const class cv::Range & range)#109,654,9,1,9,1,5,2.0,5,2.0,5,1.0,5,1.0,5,1452,5,1452,5,1.0,5,1.0,5,1.0,5,1.0,9,0.0006882312456985,9,0.0006882312456985,9,1,9,1
histogram.MUT1333.cpp,"opencv_imgproc/modules/imgproc/src/histogram.cpp#cvCalcArrHist(CvArr ** img, CvHistogram * hist, int accumulate, const CvArr * mask)#2983",654,7,1,7,1,3,2.0,3,2.0,3,1.0,3,1.0,3,1453,3,1453,3,1.0,3,1.0,3,1.0,3,1.0,7,0.0006877579092159,7,0.0006877579092159,7,1,7,1
intelligent_scissors.MUT145.cpp,"opencv_imgproc/modules/imgproc/src/intelligent_scissors.cpp#Impl::add_local_cost(const cv::Point & p, const cv::Point & q, float & cost_p, const float cost_q)#520",654,34,1,34,1,11,10.0,11,10.0,11,1.0,11,1.0,11,1440,11,1440,11,9.0,11,9.0,11,1.0,11,1.0,34,0.0062111801242236,34,0.0062111801242236,34,9,34,9
histogram.MUT536.cpp,"opencv_imgproc/modules/imgproc/src/histogram.cpp#calcSparseHist_8u(int & _ptrs, const int & _deltas, cv::Size imsize, class cv::SparseMat & hist, int dims, const float ** _ranges, const double * _uniranges, _Bool uniform)#1126",654,15,1,15,1,8,2.0,8,2.0,8,1.0,8,1.0,8,1452,8,1452,8,1.0,8,1.0,8,1.0,8,1.0,15,0.0006882312456985,15,0.0006882312456985,15,1,15,1
spatialgradient.MUT118.cpp,"opencv_imgproc/modules/imgproc/src/spatialgradient.cpp#spatialGradient(cv::InputArray _src, cv::OutputArray _dx, cv::OutputArray _dy, int ksize, int borderType)#282",654,21,1,21,1,2,2.0,2,2.0,2,1.0,2,1.0,2,1453,2,1453,2,1.0,2,1.0,2,1.0,2,1.0,21,0.0006877579092159,21,0.0006877579092159,21,1,21,1
demosaicing.MUT188.cpp,"opencv_imgproc/modules/imgproc/src/demosaicing.cpp#Bayer2Gray_Invoker::Bayer2Gray_Invoker<T, SIMDInterpolator>(const class cv::Mat & _srcmat, class cv::Mat & _dstmat, int _start_with_green, _Bool _brow, const cv::Size & _size, int _bcoeff, int _rcoeff)#598",654,6,1,6,1,5,2.0,5,2.0,5,1.0,5,1.0,5,1453,5,1453,5,1.0,5,1.0,5,1.0,5,1.0,6,0.0006877579092159,6,0.0006877579092159,6,1,6,1
stackblur.MUT111.cpp,opencv_imgproc/modules/imgproc/src/stackblur.cpp#FUNCTIONNOTFOUND#283,654,8,1,8,1,1,11.0,1,11.0,1,1.0,1,1.0,1,1444,1,1444,1,10.0,1,10.0,1,1.0,1,1.0,8,0.0068775790921595,8,0.0068775790921595,8,10,8,10
contours.MUT570.cpp,"opencv_imgproc/modules/imgproc/src/contours.cpp#icvFindContoursInInterval(const CvArr * src, CvMemStorage * storage, CvSeq ** result, int contourHeaderSize)#1508",654,24,1,24,1,14,2.0,14,2.0,14,1.0,14,1.0,14,1453,14,1453,14,1.0,14,1.0,14,1.0,14,1.0,24,0.0006877579092159,24,0.0006877579092159,24,1,24,1
geometry.MUT100.cpp,"opencv_imgproc/modules/imgproc/src/geometry.cpp#pointPolygonTest(cv::InputArray _contour, cv::Point2f pt, _Bool measureDist)#219",654,54,1,54,1,50,2.0,50,2.0,50,1.0,50,1.0,50,1450,50,1450,50,1.0,50,1.0,50,1.0,50,1.0,54,0.0006891798759476,54,0.0006891798759476,54,1,54,1
color_lab.MUT524.cpp,"opencv_imgproc/modules/imgproc/src/color_lab.cpp#fill_one(int16_t * LAB, const int16_t * LAB_prev, int16_t * LUV, const int16_t * LUV_prev, int p, int q, int r, int _p, int _q, int _r)#1108",654,12,1,12,1,10,3.0,10,3.0,10,1.0,10,1.0,10,1447,10,1447,10,2.0,10,2.0,10,1.0,10,1.0,12,0.0013802622498274,12,0.0013802622498274,12,2,12,2
resize.MUT1454.cpp,"opencv_imgproc/modules/imgproc/src/resize.cpp#computeResizeAreaTab(int ssize, int dsize, int cn, double scale, struct cv::DecimateAlpha * tab)#3290",654,11,1,11,1,9,4.0,9,4.0,9,1.0,9,1.0,9,1451,9,1451,9,3.0,9,3.0,9,1.0,9,1.0,11,0.0020632737276478,11,0.0020632737276478,11,3,11,3
color_lab.MUT1059.cpp,"opencv_imgproc/modules/imgproc/src/color_lab.cpp#Lab2RGBfloat::operator()(const float * src, float * dst, int n)#2298",654,31,1,31,1,8,2.0,8,2.0,8,1.0,8,1.0,8,1452,8,1452,8,1.0,8,1.0,8,1.0,8,1.0,31,0.0006882312456985,31,0.0006882312456985,31,1,31,1
resize.MUT19.cpp,"opencv_imgproc/modules/imgproc/src/resize.cpp#hlineResize(ET * src, int cn, int * ofst, FT * m, FT * dst, int dst_min, int dst_max, int dst_width)#99",654,19,1,19,1,4,2.0,4,2.0,4,1.0,4,1.0,4,1453,4,1453,4,1.0,4,1.0,4,1.0,4,1.0,19,0.0006877579092159,19,0.0006877579092159,19,1,19,1
demosaicing.MUT189.cpp,"opencv_imgproc/modules/imgproc/src/demosaicing.cpp#Bayer2Gray_Invoker::Bayer2Gray_Invoker<T, SIMDInterpolator>(const class cv::Mat & _srcmat, class cv::Mat & _dstmat, int _start_with_green, _Bool _brow, const cv::Size & _size, int _bcoeff, int _rcoeff)#599",654,6,1,6,1,5,2.0,5,2.0,5,1.0,5,1.0,5,1453,5,1453,5,1.0,5,1.0,5,1.0,5,1.0,6,0.0006877579092159,6,0.0006877579092159,6,1,6,1
histogram.MUT1134.cpp,"opencv_imgproc/modules/imgproc/src/histogram.cpp#cvGetMinMaxHistValue(const CvHistogram * hist, float * value_min, float * value_max, int * idx_min, int * idx_max)#2576",654,3,1,3,1,1,2.0,1,2.0,1,1.0,1,1.0,1,1453,1,1453,1,1.0,1,1.0,1,1.0,1,1.0,3,0.0006877579092159,3,0.0006877579092159,3,1,3,1
demosaicing.MUT523.cpp,"opencv_imgproc/modules/imgproc/src/demosaicing.cpp#Bayer2RGB_VNG_8u(const class cv::Mat & srcmat, class cv::Mat & dstmat, int code)#1167",654,3,1,3,1,2,3.0,2,3.0,2,1.0,2,1.0,2,1452,2,1452,2,2.0,2,2.0,2,1.0,2,1.0,3,0.0013755158184319,3,0.0013755158184319,3,2,3,2
color_lab.MUT1386.cpp,"opencv_imgproc/modules/imgproc/src/color_lab.cpp#RGB2Luvfloat::operator()(const float * src, float * dst, int n)#2956",654,35,1,35,1,8,2.0,8,2.0,8,1.0,8,1.0,8,1452,8,1452,8,1.0,8,1.0,8,1.0,8,1.0,35,0.0006882312456985,35,0.0006882312456985,35,1,35,1
histogram.MUT1067.cpp,"opencv_imgproc/modules/imgproc/src/histogram.cpp#cvCreateHist(int dims, int * sizes, CvHistType type, float ** ranges, int uniform)#2387",654,2,1,2,1,1,9.0,1,9.0,1,1.0,1,1.0,1,1446,1,1446,1,8.0,1,8.0,1,1.0,1,1.0,2,0.0055020632737276,2,0.0055020632737276,2,8,2,8
resize.MUT1606.cpp,"opencv_imgproc/modules/imgproc/src/resize.cpp#resize(int src_type, const uchar * src_data, size_t src_step, int src_width, int src_height, uchar * dst_data, size_t dst_step, int dst_width, int dst_height, double inv_scale_x, double inv_scale_y, int interpolation)#4063",654,16,1,16,1,15,3.0,15,3.0,15,1.0,15,1.0,15,1451,15,1451,15,2.0,15,2.0,15,1.0,15,1.0,16,0.0013764624913971,16,0.0013764624913971,16,2,16,2
color_lab.MUT629.cpp,opencv_imgproc/modules/imgproc/src/color_lab.cpp#createLabTabs()#1265,654,14,1,14,1,14,3.0,14,3.0,14,1.0,14,1.0,14,1447,14,1447,14,2.0,14,2.0,14,1.0,14,1.0,14,0.0013802622498274,14,0.0013802622498274,14,2,14,2
grabcut.MUT220.cpp,"opencv_imgproc/modules/imgproc/src/grabcut.cpp#constructGCGraph(const class cv::Mat & img, const class cv::Mat & mask, const class (anonymous namespace)::GMM & bgdGMM, const class (anonymous namespace)::GMM & fgdGMM, double lambda, const class cv::Mat & leftW, const class cv::Mat & upleftW, const class cv::Mat & upW, const class cv::Mat & uprightW, GCGraph<double> & graph)#515",654,15,1,15,1,15,3.0,15,3.0,15,1.0,15,1.0,15,1452,15,1452,15,2.0,15,2.0,15,1.0,15,1.0,15,0.0013755158184319,15,0.0013755158184319,15,2,15,2
templmatch.MUT36.cpp,"opencv_imgproc/modules/imgproc/src/templmatch.cpp#crossCorr(const class cv::Mat & img, const class cv::Mat & _templ, class cv::Mat & corr, cv::Point anchor, double delta, int borderType)#637",654,1,1,1,1,1,147.0,1,147.0,1,1.0,1,1.0,1,1307,1,1307,1,146.0,1,146.0,1,1.0,1,1.0,1,0.1004817618719889,1,0.1004817618719889,1,146,1,146
corner.MUT83.cpp,"opencv_imgproc/modules/imgproc/src/corner.cpp#eigen2x2(const float * cov, float * dst, int n)#208",654,26,1,26,1,5,2.0,5,2.0,5,1.0,5,1.0,5,1453,5,1453,5,1.0,5,1.0,5,1.0,5,1.0,26,0.0006877579092159,26,0.0006877579092159,26,1,26,1
histogram.MUT1006.cpp,"opencv_imgproc/modules/imgproc/src/histogram.cpp#compareHist(const class cv::SparseMat & H1, const class cv::SparseMat & H2, int method)#2271",654,5,1,5,1,2,2.0,2,2.0,2,1.0,2,1.0,2,1452,2,1452,2,1.0,2,1.0,2,1.0,2,1.0,5,0.0006882312456985,5,0.0006882312456985,5,1,5,1
demosaicing.MUT420.cpp,"opencv_imgproc/modules/imgproc/src/demosaicing.cpp#Bayer2RGB_VNG_8u(const class cv::Mat & srcmat, class cv::Mat & dstmat, int code)#1013",654,3,1,3,1,2,3.0,2,3.0,2,1.0,2,1.0,2,1452,2,1452,2,2.0,2,2.0,2,1.0,2,1.0,3,0.0013755158184319,3,0.0013755158184319,3,2,3,2
color_lab.MUT560.cpp,"opencv_imgproc/modules/imgproc/src/color_lab.cpp#initLUTforLABLUVs16(const struct cv::softfloat & un, const struct cv::softfloat & vn)#1161",654,12,1,12,1,11,5.0,11,5.0,11,1.0,11,1.0,11,1447,11,1447,11,4.0,11,4.0,11,1.0,11,1.0,12,0.0027567195037904,12,0.0027567195037904,12,4,12,4
color_yuv.dispatch.MUT39.cpp,"opencv_imgproc/modules/imgproc/src/color_yuv.dispatch.cpp#cvtColorTwoPlaneYUV2BGRpair(cv::InputArray _ysrc, cv::InputArray _uvsrc, cv::OutputArray _dst, int dcn, _Bool swapb, int uidx)#502",654,4,1,4,1,3,2.0,3,2.0,3,1.0,3,1.0,3,1453,3,1453,3,1.0,3,1.0,3,1.0,3,1.0,4,0.0006877579092159,4,0.0006877579092159,4,1,4,1
contours_link.MUT1.cpp,"opencv_imgproc/modules/imgproc/src/contours_link.cpp#findStartContourPoint(uchar * src_data, cv::Size img_size, int j)#20",654,24,1,24,1,14,2.0,14,2.0,14,1.0,14,1.0,14,1453,14,1453,14,1.0,14,1.0,14,1.0,14,1.0,24,0.0006877579092159,24,0.0006877579092159,24,1,24,1
histogram.MUT346.cpp,"opencv_imgproc/modules/imgproc/src/histogram.cpp#calcHist_8u(int & _ptrs, const int & _deltas, cv::Size imsize, class cv::Mat & hist, int dims, const float ** _ranges, const double * _uniranges, _Bool uniform)#616",654,12,1,12,1,4,3.0,4,3.0,4,1.0,4,1.0,4,1452,4,1452,4,2.0,4,2.0,4,1.0,4,1.0,12,0.0013755158184319,12,0.0013755158184319,12,2,12,2
resize.MUT1127.cpp,opencv_imgproc/modules/imgproc/src/resize.cpp#resizeGeneric_Invoker::operator()(const class cv::Range & range)#2153,654,6,1,6,1,4,4.0,4,4.0,4,1.0,4,1.0,4,1451,4,1451,4,3.0,4,3.0,4,1.0,4,1.0,6,0.0020632737276478,6,0.0020632737276478,6,3,6,3
demosaicing.MUT797.cpp,"opencv_imgproc/modules/imgproc/src/demosaicing.cpp#Bayer2RGB_EdgeAware_T(const class cv::Mat & src, class cv::Mat & dst, int code)#1656",654,5,1,5,1,5,2.0,5,2.0,5,1.0,5,1.0,5,1453,5,1453,5,1.0,5,1.0,5,1.0,5,1.0,5,0.0006877579092159,5,0.0006877579092159,5,1,5,1
stackblur.MUT355.cpp,"opencv_imgproc/modules/imgproc/src/stackblur.cpp#opColumn(const float * srcPtr, float * dstPtr, float * stack, float * sum, float * sumIn, float * sumOut, const float mulVal, const int , const int , const int widthLen, const int ss, const int sp1)#727",654,7,1,7,1,2,14.0,2,14.0,2,1.0,2,1.0,2,1441,2,1441,2,13.0,2,13.0,2,1.0,2,1.0,7,0.0089408528198074,7,0.0089408528198074,7,13,7,13
corner.MUT70.cpp,"opencv_imgproc/modules/imgproc/src/corner.cpp#eigen2x2(const float * cov, float * dst, int n)#188",654,26,1,26,1,5,2.0,5,2.0,5,1.0,5,1.0,5,1453,5,1453,5,1.0,5,1.0,5,1.0,5,1.0,26,0.0006877579092159,26,0.0006877579092159,26,1,26,1
demosaicing.MUT251.cpp,"opencv_imgproc/modules/imgproc/src/demosaicing.cpp#Bayer2Gray_(const class cv::Mat & srcmat, class cv::Mat & dstmat, int code)#714",654,3,1,3,1,2,2.0,2,2.0,2,1.0,2,1.0,2,1453,2,1453,2,1.0,2,1.0,2,1.0,2,1.0,3,0.0006877579092159,3,0.0006877579092159,3,1,3,1
rotcalipers.MUT100.cpp,"opencv_imgproc/modules/imgproc/src/rotcalipers.cpp#rotatingCalipers(const cv::Point2f * points, int n, int mode, float * out)#296",654,6,1,6,1,6,5.0,6,5.0,6,1.0,6,1.0,6,1450,6,1450,6,4.0,6,4.0,6,1.0,6,1.0,6,0.0027510316368638,6,0.0027510316368638,6,4,6,4
color_lab.MUT921.cpp,"opencv_imgproc/modules/imgproc/src/color_lab.cpp#RGB2Lab_f::operator()(const float * src, float * dst, int n)#2080",654,31,1,31,1,8,2.0,8,2.0,8,1.0,8,1.0,8,1452,8,1452,8,1.0,8,1.0,8,1.0,8,1.0,31,0.0006882312456985,31,0.0006882312456985,31,1,31,1
stackblur.MUT590.cpp,opencv_imgproc/modules/imgproc/src/stackblur.cpp#ParallelStackBlurColumn::operator()(const class cv::Range & range)#1113,654,6,1,6,1,6,53.0,6,53.0,6,1.0,6,1.0,6,1402,6,1402,6,52.0,6,52.0,6,1.0,6,1.0,6,0.0357634112792297,6,0.0357634112792297,6,52,6,52
histogram.MUT320.cpp,"opencv_imgproc/modules/imgproc/src/histogram.cpp#calcHist_8u(int & _ptrs, const int & _deltas, cv::Size imsize, class cv::Mat & hist, int dims, const float ** _ranges, const double * _uniranges, _Bool uniform)#577",654,15,1,15,1,4,2.0,4,2.0,4,1.0,4,1.0,4,1453,4,1453,4,1.0,4,1.0,4,1.0,4,1.0,15,0.0006877579092159,15,0.0006877579092159,15,1,15,1
lsd.MUT206.cpp,"opencv_imgproc/modules/imgproc/src/lsd.cpp#LineSegmentDetectorImpl::get_theta(const int & reg, const double & x, const double & y, const double & reg_angle, const double & prec)#726",654,44,1,44,1,21,2.0,21,2.0,21,1.0,21,1.0,21,1444,21,1444,21,1.0,21,1.0,21,1.0,21,1.0,44,0.0006920415224913,44,0.0006920415224913,44,1,44,1
filter.dispatch.MUT279.cpp,"opencv_imgproc/modules/imgproc/src/filter.dispatch.cpp#filter2D(int stype, int dtype, int kernel_type, uchar * src_data, size_t src_step, uchar * dst_data, size_t dst_step, int width, int height, int full_width, int full_height, int offset_x, int offset_y, uchar * kernel_data, size_t kernel_step, int kernel_width, int kernel_height, int anchor_x, int anchor_y, double delta, int borderType, _Bool isSubmatrix)#1473",654,3,1,3,1,3,3.0,3,3.0,3,1.0,3,1.0,3,1449,3,1449,3,2.0,3,2.0,3,1.0,3,1.0,3,0.0013783597518952,3,0.0013783597518952,3,2,3,2
contours.MUT263.cpp,"opencv_imgproc/modules/imgproc/src/contours.cpp#icvTraceContour_32s(int * ptr, int step, int * stop_ptr, int is_hole)#870",654,27,1,27,1,2,5.0,2,5.0,2,1.0,2,1.0,2,1450,2,1450,2,4.0,2,4.0,2,1.0,2,1.0,27,0.0027510316368638,27,0.0027510316368638,27,4,27,4
color_lab.MUT603.cpp,opencv_imgproc/modules/imgproc/src/color_lab.cpp#createLabTabs()#1231,654,5,1,5,1,3,3.0,3,3.0,3,1.0,3,1.0,3,1447,3,1447,3,2.0,3,2.0,3,1.0,3,1.0,5,0.0013802622498274,5,0.0013802622498274,5,2,5,2
lsd.MUT208.cpp,"opencv_imgproc/modules/imgproc/src/lsd.cpp#LineSegmentDetectorImpl::get_theta(const int & reg, const double & x, const double & y, const double & reg_angle, const double & prec)#728",654,35,1,35,1,12,4.0,12,4.0,12,1.0,12,1.0,12,1444,12,1444,12,3.0,12,3.0,12,1.0,12,1.0,35,0.0020732550103662,35,0.0020732550103662,35,3,35,3
histogram.MUT1314.cpp,"opencv_imgproc/modules/imgproc/src/histogram.cpp#cvSetHistBinRanges(CvHistogram * hist, float ** ranges, int uniform)#2935",654,5,1,5,1,5,4.0,5,4.0,5,1.0,5,1.0,5,1451,5,1451,5,3.0,5,3.0,5,1.0,5,1.0,5,0.0020632737276478,5,0.0020632737276478,5,3,5,3
min_enclosing_triangle.MUT234.cpp,"opencv_imgproc/modules/imgproc/src/min_enclosing_triangle.cpp#middlePoint(const cv::Point2f & a, const cv::Point2f & b)#1309",654,53,1,53,1,47,2.0,47,2.0,47,1.0,47,1.0,47,1453,47,1453,47,1.0,47,1.0,47,1.0,47,1.0,53,0.0006877579092159,53,0.0006877579092159,53,1,53,1
