subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10,avg_num_failing_tcs,avg_num_passing_tcs,avg_num_ccts,avg_num_utilized_failing_tcs,avg_num_utilized_passing_tcs,avg_num_utilized_ccts,avg_num_utilized_mutants,avg_num_utilized_mutants_per_line,avg_buggy_line_mut_cnt,avg_buggy_line_f2p,avg_buggy_line_p2f,avg_total_mut_build_time,avg_total_tcs_exec_time,avg_num_lines_executed_by_failing_tcs,avg_num_funcs_executed_by_failing_tcs,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration,rel_time_diff,naish2_acc5,naish2_acc10,avg_line_top_perc
opencv_imgproc_exp1,sbfl20-3mut-rand70,39.13,67.88,37.67,58.62,2.43,96.79,0.65,2.43,67.23,0.0,15.82,0.8,0.22,0.09,0.0,163.76,97.9,199.08,13.86,44.4,78.88,44.83,78.88,0.07,-99.03,34.05,47.84,50.74
opencv_imgproc_exp1,sbfl20-3mut-rand50,34.29,61.08,39.22,62.76,2.43,96.79,0.65,2.43,48.01,0.0,15.81,0.8,0.22,0.08,0.0,163.6,71.46,199.08,13.86,42.67,78.88,43.1,78.88,0.07,-99.13,33.62,46.98,50.74
opencv_imgproc_exp1,sbfl20-3mut-rand30,32.08,58.83,38.88,63.58,2.43,96.79,0.65,2.43,28.56,0.0,15.76,0.8,0.21,0.06,0.0,163.51,42.61,199.08,13.86,42.24,78.88,42.67,78.88,0.06,-99.23,32.76,46.12,50.74
opencv_imgproc_exp1,sbfl20-3mut-rand10,37.92,67.49,45.09,77.28,2.43,96.79,0.65,2.43,9.0,0.0,15.59,0.79,0.16,0.07,0.0,163.81,14.85,199.08,13.86,42.24,73.71,41.81,73.71,0.05,-99.34,30.6,43.1,50.74
opencv_core_exp1,allfails-10mut-allPass,79.74,91.26,61.64,68.19,16.71,273.12,8.05,16.71,273.12,0.0,5142.56,5.3,8.43,28.56,0.0,65943.63,103195.94,971.84,123.99,71.55,72.41,68.97,71.98,46.98,0.0,45.69,55.17,52.35
opencv_core_exp1,sbfl20-3mut-rand70,70.65,87.06,47.03,55.95,16.71,273.12,8.05,16.71,190.67,0.0,67.31,0.71,0.66,2.66,0.0,855.16,967.72,971.84,123.99,35.78,43.97,38.36,49.14,0.51,-98.92,43.53,53.45,52.35
opencv_core_exp1,sbfl20-3mut-rand50,72.21,87.36,46.55,54.96,16.71,273.12,8.05,16.71,136.22,0.0,67.51,0.71,0.65,2.46,0.0,856.93,713.82,971.84,123.99,33.19,44.4,35.78,48.71,0.44,-99.07,41.81,51.72,52.35
opencv_core_exp1,sbfl20-3mut-rand30,51.3,76.15,46.94,53.79,16.71,273.12,8.05,16.71,81.47,0.0,67.5,0.71,0.59,2.84,0.0,856.57,457.73,971.84,123.99,34.48,44.4,37.5,49.57,0.37,-99.22,40.95,49.57,52.35
opencv_core_exp1,sbfl20-3mut-rand10,26.36,47.06,39.78,49.01,16.71,273.12,8.05,16.71,26.63,0.0,67.06,0.71,0.56,1.63,0.0,848.9,198.33,971.84,123.99,30.6,41.81,32.33,45.69,0.29,-99.38,36.21,46.98,52.35
jsoncpp_exp1,allfails-10mut-allPass,81.99,91.86,94.83,99.78,6.39,116.19,2.14,6.39,116.19,0.0,2205.47,4.95,8.01,10.4,0.0,5169.71,993.81,437.05,78.8,68.97,70.26,71.98,84.05,1.71,0.0,81.47,95.69,52.09
jsoncpp_exp1,sbfl20-3mut-rand70,81.04,91.21,81.72,95.52,6.39,116.19,2.14,6.39,80.83,0.0,33.46,0.79,0.95,1.45,0.0,78.0,10.81,437.05,78.8,38.36,75.43,56.9,94.4,0.02,-98.56,75.43,91.81,52.09
jsoncpp_exp1,sbfl20-3mut-rand50,61.17,79.22,78.71,94.57,6.39,116.19,2.14,6.39,57.91,0.0,33.36,0.78,0.94,1.62,0.0,77.89,8.02,437.05,78.8,38.79,74.14,56.03,91.38,0.02,-98.61,70.69,87.93,52.09
jsoncpp_exp1,sbfl20-3mut-rand30,32.12,53.33,69.35,91.16,6.39,116.19,2.14,6.39,34.45,0.0,33.28,0.78,0.9,1.38,0.0,77.28,5.18,437.05,78.8,40.09,72.84,52.16,85.34,0.02,-98.66,60.34,82.33,52.09
jsoncpp_exp1,sbfl20-3mut-rand10,42.51,61.9,53.19,78.23,6.39,116.19,2.14,6.39,11.25,0.0,32.93,0.77,0.8,1.49,0.0,76.55,2.37,437.05,78.8,33.19,63.79,38.36,72.41,0.02,-98.72,38.36,63.36,52.09
